player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,is_break_point,server_is_player1,point_won,match_id
0,0,0,0,1,0,0,1,1,10434855
0,0,0,0,1,1,0,1,0,10434855
0,0,0,0,1,2,0,1,0,10434855
0,0,0,0,2,2,0,1,1,10434855
0,0,0,0,2,3,1,1,0,10434855
0,0,0,0,3,3,1,1,1,10434855
0,0,0,0,4,3,0,1,1,10434855
0,0,0,0,5,3,0,1,1,10434855
0,0,1,0,1,0,0,0,1,10434855
0,0,1,0,1,1,0,0,0,10434855
0,0,1,0,2,1,0,0,1,10434855
0,0,1,0,3,1,0,0,1,10434855
0,0,1,0,4,1,0,0,1,10434855
0,0,1,1,0,1,0,1,0,10434855
0,0,1,1,0,2,0,1,0,10434855
0,0,1,1,0,3,1,1,0,10434855
0,0,1,1,0,4,1,1,0,10434855
0,0,1,2,1,0,0,0,1,10434855
0,0,1,2,2,0,0,0,1,10434855
0,0,1,2,2,1,0,0,0,10434855
0,0,1,2,2,2,0,0,0,10434855
0,0,1,2,2,3,1,0,0,10434855
0,0,1,2,3,3,1,0,1,10434855
0,0,1,2,3,4,1,0,0,10434855
0,0,1,2,4,4,1,0,1,10434855
0,0,1,2,4,5,1,0,0,10434855
0,0,1,2,5,5,1,0,1,10434855
0,0,1,2,6,5,0,0,1,10434855
0,0,1,2,7,5,0,0,1,10434855
0,0,1,3,0,1,0,1,0,10434855
0,0,1,3,0,2,0,1,0,10434855
0,0,1,3,0,3,1,1,0,10434855
0,0,1,3,0,4,1,1,0,10434855
0,0,1,4,0,1,0,0,0,10434855
0,0,1,4,1,1,0,0,1,10434855
0,0,1,4,1,2,0,0,0,10434855
0,0,1,4,1,3,1,0,0,10434855
0,0,1,4,2,3,1,0,1,10434855
0,0,1,4,2,4,1,0,0,10434855
0,0,2,4,1,0,0,1,1,10434855
0,0,2,4,2,0,0,1,1,10434855
0,0,2,4,2,1,0,1,0,10434855
0,0,2,4,2,2,0,1,0,10434855
0,0,2,4,3,2,0,1,1,10434855
0,0,2,4,3,3,1,1,0,10434855
0,0,2,4,3,4,1,1,0,10434855
0,0,2,4,4,4,1,1,1,10434855
0,0,2,4,5,4,0,1,1,10434855
0,0,2,4,6,4,0,1,1,10434855
0,0,3,4,0,1,0,0,0,10434855
0,0,3,4,0,2,0,0,0,10434855
0,0,3,4,1,2,0,0,1,10434855
0,0,3,4,2,2,0,0,1,10434855
0,0,3,4,2,3,1,0,0,10434855
0,0,3,4,2,4,1,0,0,10434855
0,0,4,4,0,1,0,1,0,10434855
0,0,4,4,1,1,0,1,1,10434855
0,0,4,4,2,1,0,1,1,10434855
0,0,4,4,3,1,0,1,1,10434855
0,0,4,4,3,2,0,1,0,10434855
0,0,4,4,3,3,1,1,0,10434855
0,0,4,4,4,3,0,1,1,10434855
0,0,4,4,5,3,0,1,1,10434855
0,0,5,4,1,0,0,0,1,10434855
0,0,5,4,1,1,0,0,0,10434855
0,0,5,4,1,2,0,0,0,10434855
0,0,5,4,2,2,0,0,1,10434855
0,0,5,4,2,3,1,0,0,10434855
0,0,5,4,2,4,1,0,0,10434855
1,0,0,0,1,0,0,1,1,10434855
1,0,0,0,2,0,0,1,1,10434855
1,0,0,0,2,1,0,1,0,10434855
1,0,0,0,2,2,0,1,0,10434855
1,0,0,0,3,2,0,1,1,10434855
1,0,0,0,4,2,0,1,1,10434855
1,0,1,0,0,1,0,0,0,10434855
1,0,1,0,0,2,0,0,0,10434855
1,0,1,0,0,3,1,0,0,10434855
1,0,1,0,1,3,1,0,1,10434855
1,0,1,0,1,4,1,0,0,10434855
1,0,2,0,0,1,0,1,0,10434855
1,0,2,0,0,2,0,1,0,10434855
1,0,2,0,1,2,0,1,1,10434855
1,0,2,0,1,3,1,1,0,10434855
1,0,2,0,1,4,1,1,0,10434855
1,0,2,1,1,0,0,0,1,10434855
1,0,2,1,1,1,0,0,0,10434855
1,0,2,1,1,2,0,0,0,10434855
1,0,2,1,2,2,0,0,1,10434855
1,0,2,1,2,3,1,0,0,10434855
1,0,2,1,2,4,1,0,0,10434855
1,0,3,1,1,0,0,1,1,10434855
1,0,3,1,2,0,0,1,1,10434855
1,0,3,1,3,0,0,1,1,10434855
1,0,3,1,3,1,0,1,0,10434855
1,0,3,1,3,2,0,1,0,10434855
1,0,3,1,4,2,0,1,1,10434855
1,0,4,1,0,1,0,0,0,10434855
1,0,4,1,0,2,0,0,0,10434855
1,0,4,1,0,3,1,0,0,10434855
1,0,4,1,0,4,1,0,0,10434855
1,0,5,1,0,1,0,1,0,10434855
1,0,5,1,0,2,0,1,0,10434855
1,0,5,1,1,2,0,1,1,10434855
1,0,5,1,1,3,1,1,0,10434855
1,0,5,1,1,4,1,1,0,10434855
1,0,5,2,0,1,0,0,0,10434855
1,0,5,2,0,2,0,0,0,10434855
1,0,5,2,0,3,1,0,0,10434855
1,0,5,2,0,4,1,0,0,10434855
0,0,0,0,0,1,0,1,0,10434943
0,0,0,0,1,1,0,1,1,10434943
0,0,0,0,1,2,0,1,0,10434943
0,0,0,0,1,3,1,1,0,10434943
0,0,0,0,2,3,1,1,1,10434943
0,0,0,0,2,4,1,1,0,10434943
0,0,0,1,0,1,0,0,0,10434943
0,0,0,1,1,1,0,0,1,10434943
0,0,0,1,2,1,0,0,1,10434943
0,0,0,1,2,2,0,0,0,10434943
0,0,0,1,3,2,0,0,1,10434943
0,0,0,1,3,3,1,0,0,10434943
0,0,0,1,4,3,0,0,1,10434943
0,0,0,1,4,4,1,0,0,10434943
0,0,0,1,4,5,1,0,0,10434943
0,0,0,1,5,5,1,0,1,10434943
0,0,0,1,6,5,0,0,1,10434943
0,0,0,1,7,5,0,0,1,10434943
0,0,0,2,0,1,0,1,0,10434943
0,0,0,2,0,2,0,1,0,10434943
0,0,0,2,1,2,0,1,1,10434943
0,0,0,2,2,2,0,1,1,10434943
0,0,0,2,3,2,0,1,1,10434943
0,0,0,2,4,2,0,1,1,10434943
0,0,1,2,0,1,0,0,0,10434943
0,0,1,2,1,1,0,0,1,10434943
0,0,1,2,1,2,0,0,0,10434943
0,0,1,2,2,2,0,0,1,10434943
0,0,1,2,2,3,1,0,0,10434943
0,0,1,2,3,3,1,0,1,10434943
0,0,1,2,3,4,1,0,0,10434943
