pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,server_changed,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,970,,,1,,1,Deuce,Emon van Loben Sels,Near,1.0,T,-5.368733596,241.4745844,,,,,,17.1441437,-441.7475394,,,1.0,,,,,,,,,,,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,,,1,True,,Roger Pascual Ferra,Emon van Loben Sels,,,,,,1st Serve In,T,
0-0,0-0,0-0,,1730,1.0,1730.0,1,,2,Deuce,Emon van Loben Sels,Near,,,,,,,,,,-29.7285269,522.3275755,Crosscourt,Forehand,,,,,,,,,,47.52693023,329.740841,,,,1.0,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,1,False,,Roger Pascual Ferra,Roger Pascual Ferra,1.0,,,Emon van Loben Sels,1,,,
15-0,0-0,0-0,1.0,18469,,,2,,1,Ad,Emon van Loben Sels,Near,1.0,Wide,123.8216098,190.2804243,,,,,,-63.99989611,-476.4419018,,,1.0,,,,,,,,,,,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,,,1,False,,Roger Pascual Ferra,Emon van Loben Sels,,,,,,1st Serve In,Wide,
15-0,0-0,0-0,,19370,1.0,19370.0,2,,2,Ad,Emon van Loben Sels,Near,,,,,,,,,,196.3406223,480.6679681,Down the Line,Forehand,1.0,,,,,,,,,110.142558,262.0037456,,,,1.0,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,,,1,False,,Roger Pascual Ferra,Roger Pascual Ferra,,,,Emon van Loben Sels,1,,,
30-0,0-0,0-0,1.0,34330,,,3,,1,Deuce,Emon van Loben Sels,Near,1.0,Wide,-106.626635,203.1427712,,,,,,17.22720363,-452.2041339,,,1.0,,,,,,,,,,,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,,,1,False,,Roger Pascual Ferra,Emon van Loben Sels,,,,,,1st Serve In,Wide,
30-0,0-0,0-0,,34900,1.0,34900.0,3,,2,Deuce,Emon van Loben Sels,Near,,,,,,,,,,-160.8282535,504.7386592,Crosscourt,Backhand,,,,,,,,,,34.05108815,231.374918,,,,1.0,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,1,False,,Roger Pascual Ferra,Roger Pascual Ferra,,,,Emon van Loben Sels,1,,,
40-0,0-0,0-0,1.0,55500,,,4,,1,Ad,Emon van Loben Sels,Near,0.0,Body,97.25533136,-21.96514108,0.0,Body,88.75175525,246.7445647,,-55.45834974,-481.7643974,,,1.0,,,,,,,,,,,,,,1.0,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,,,1,False,,Roger Pascual Ferra,Emon van Loben Sels,,,,,,Double Fault,Body,
40-0,0-0,0-0,,65900,,,4,,2,Ad,Emon van Loben Sels,Near,,,,,,,,,,142.4481245,506.001974,Down the Line,Forehand,,,,,,,,,,99.96909449,-247.1902176,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,1,False,,Roger Pascual Ferra,Roger Pascual Ferra,,,,,,,,Short
40-0,0-0,0-0,,67699,,,4,,3,Deuce,Emon van Loben Sels,Near,,,,,,,,,,59.98718285,-372.7545549,Crosscourt,Forehand,,,,,,,,,,-107.329276,424.6673939,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,1,False,,Roger Pascual Ferra,Emon van Loben Sels,,,,,,,,Deep
40-0,0-0,0-0,,68529,,,4,,4,Deuce,Emon van Loben Sels,Near,,,,,,,,,,-141.7233979,527.748365,Crosscourt,Backhand,,,,,,,,,,43.28360127,-85.54992892,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,1,False,,Roger Pascual Ferra,Roger Pascual Ferra,,,,,,,,Short
