pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Alexander Hoogmartens,Aleksa Pisaric,0-0,0-0,0-0,,Deuce,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,10020.0,11190.0,1170.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,-156.608388013917,244.764178696287,,,Down the Line,Forehand,,,Down the Line,Forehand,Aleksa Pisaric,Winner,Aleksa Pisaric,,False,,,1,0,0,0,0,0,0,,,1,1st Serve In,Deuce: Wide,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Winner,0.0,0.0,1.0,0.0,"Set 1: 0-0, 0-0 Alexander Hoogmartens Serving"
2,Alexander Hoogmartens,Aleksa Pisaric,0-15,0-0,0-0,,Ad,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,28270.0,61270.0,33000.0,15,13+,0,1,2nd Serve In,Body,T,Body,False,Near,,,30.6243110236062,319.666437007709,102.635165135555,158.369411635964,Down the Line,Backhand,,,Crosscourt,Forehand,Alexander Hoogmartens,Winner,Alexander Hoogmartens,0.0,False,Alexander Hoogmartens,,1,0,0,0,0,0,15,,,1,2nd Serve In,Ad: Body,,,Crosscourt,Forehand,Winner,,,Down the Line,Backhand,,,,3.0,3.0,4.0,3.0,"Set 1: 0-0, 0-15 Alexander Hoogmartens Serving"
3,Alexander Hoogmartens,Aleksa Pisaric,15-15,0-0,0-0,,Deuce,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,90889.0,90889.0,0.0,1,1-4,1,0,1st Serve In,T,T,,True,Near,,,-6.69126202974283,244.846090332332,,,,,,,,,Alexander Hoogmartens,,Alexander Hoogmartens,0.0,False,,,1,0,0,0,0,15,15,,,1,Ace,Deuce: T,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 15-15 Alexander Hoogmartens Serving"
4,Alexander Hoogmartens,Aleksa Pisaric,30-15,0-0,0-0,,Ad,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,110720.0,119989.0,9269.0,1,1-4,0,1,2nd Serve In,Body,Wide,Body,True,Near,,,188.732791994653,397.432157698832,71.9418033682918,221.235711942143,,,,,,,Alexander Hoogmartens,,Alexander Hoogmartens,0.0,False,,,1,0,0,0,0,30,15,,,1,Ace,Ad: Body,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 30-15 Alexander Hoogmartens Serving"
5,Alexander Hoogmartens,Aleksa Pisaric,40-15,0-0,0-0,,Deuce,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,141380.0,160250.0,18870.0,1,1-4,0,0,Double Fault,Body,Body,Body,False,Near,,,-95.7441382326715,-244.789977033994,-60.7382819334769,-4.28566272965661,,,Net,,,,Alexander Hoogmartens,,Aleksa Pisaric,0.0,False,,,1,0,0,0,0,40,15,,,1,Double Fault,Deuce: Body,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 40-15 Alexander Hoogmartens Serving"
6,Alexander Hoogmartens,Aleksa Pisaric,40-30,0-0,0-0,,Ad,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,182050.0,183070.0,1020.0,2,1-4,1,0,1st Serve In,T,T,,False,Near,,,38.1646598862445,244.931370297336,,,Crosscourt,Forehand,Net,Net,Crosscourt,Forehand,Aleksa Pisaric,Error,Alexander Hoogmartens,0.0,False,,,1,0,0,0,0,40,30,,,1,1st Serve In,Ad: T,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 40-30 Alexander Hoogmartens Serving"
7,Alexander Hoogmartens,Aleksa Pisaric,0-0,1-0,0-0,,Deuce,Aleksa Pisaric,Alexander Hoogmartens,"Univeristy of California, Los Angeles",Pepperdine,225919.0,246369.0,20450.0,7,5-8,0,1,2nd Serve In,T,Body,T,False,Near,,,-83.9738571740599,-244.868596894012,-33.1476487313915,207.524584426839,Crosscourt,Backhand,Net,,Down the Line,Forehand,Aleksa Pisaric,Error,Alexander Hoogmartens,0.0,False,,,1,0,0,1,0,0,0,,,2,,,Crosscourt,Backhand,,,,2nd Serve In,Deuce: T,,,Down the Line,Forehand,Error,1.0,2.0,1.0,1.0,"Set 1: 1-0, 0-0 Aleksa Pisaric Serving"
8,Alexander Hoogmartens,Aleksa Pisaric,0-15,1-0,0-0,,Ad,Aleksa Pisaric,Alexander Hoogmartens,"Univeristy of California, Los Angeles",Pepperdine,265880.0,279380.0,13500.0,6,5-8,0,1,2nd Serve In,Wide,Wide,Wide,False,Near,,,106.98700787396,-37.603641732264,116.695718503877,211.265994094379,Down the Line,Backhand,Net,,Down the Line,Backhand,Alexander Hoogmartens,Winner,Alexander Hoogmartens,0.0,False,,,1,0,0,1,0,0,15,,,2,,,Down the Line,Backhand,Down the Line,Backhand,Winner,2nd Serve In,Ad: Wide,,,,,,0.0,0.0,2.0,3.0,"Set 1: 1-0, 0-15 Aleksa Pisaric Serving"
9,Alexander Hoogmartens,Aleksa Pisaric,0-30,1-0,0-0,,Deuce,Aleksa Pisaric,Alexander Hoogmartens,"Univeristy of California, Los Angeles",Pepperdine,308019.0,308019.0,0.0,1,1-4,1,0,1st Serve In,Wide,Wide,,True,Near,,,-142.059771434747,243.956506998999,,,,,,,,,Aleksa Pisaric,,Aleksa Pisaric,0.0,False,,,1,0,0,1,0,0,30,,,2,Ace,,,,,,,1st Serve In,Deuce: Wide,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-0, 0-30 Aleksa Pisaric Serving"
10,Alexander Hoogmartens,Aleksa Pisaric,15-30,1-0,0-0,,Ad,Aleksa Pisaric,Alexander Hoogmartens,"Univeristy of California, Los Angeles",Pepperdine,329619.0,347480.0,17861.0,9,9-12,0,1,2nd Serve In,Body,T,Body,False,Near,,,35.1152887138926,-20.3759022309606,98.8556321084354,244.183639544931,Crosscourt,Backhand,Net,,Down the Line,Forehand,Aleksa Pisaric,Error,Alexander Hoogmartens,0.0,False,,,1,0,0,1,0,15,30,,,2,,,Crosscourt,Backhand,,,,2nd Serve In,Ad: Body,,,Down the Line,Forehand,Error,1.0,3.0,2.0,1.0,"Set 1: 1-0, 15-30 Aleksa Pisaric Serving"
