Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,isExcitingPoint,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 1: 0-0, 0-0 Anne Lutkemeyer Serving",1,1,1,Anne Lutkemeyer,Catherine Gagnon,0-0,0-0,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,14976.0,,,Catherine Gagnon,1,1 - 4,0,0,Double Fault,Body,Body,Body,False,Far,67.0,4.0,61.0,1.0,,,,,,,Anne Lutkemeyer,,False,,,,0,0,0,0,0,0,,,Double Fault,Deuce: Body,,,,,,,,,,,,,UCLA,Michigan State University
"Set 1: 0-0, 0-15 Anne Lutkemeyer Serving",2,1,1,Anne Lutkemeyer,Catherine Gagnon,0-15,0-0,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,21747.0,,,Anne Lutkemeyer,7,5 - 8,0,1,2nd Serve In,Body,Body,Body,False,Far,-72.0,2.0,-75.0,-186.0,Crosscourt,Forehand,,,Down the Line,Forehand,Anne Lutkemeyer,Winner,False,,,0.0,0,0,0,0,0,15,,,2nd Serve In,Ad: Body,,,Down the Line,Forehand,Winner,,,Crosscourt,Forehand,,,,UCLA,Michigan State University
"Set 1: 0-0, 15-15 Anne Lutkemeyer Serving",3,1,1,Anne Lutkemeyer,Catherine Gagnon,15-15,0-0,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,54026.0,,,Catherine Gagnon,3,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Far,117.0,-163.0,,,Crosscourt,Forehand,Net,,Down the Line,Forehand,Anne Lutkemeyer,Error,False,,,0.0,0,0,0,0,15,15,,,1st Serve In,Deuce: Wide,,,Down the Line,Forehand,Error,,,Crosscourt,Forehand,,,,UCLA,Michigan State University
"Set 1: 0-0, 15-30 Anne Lutkemeyer Serving",4,1,1,Anne Lutkemeyer,Catherine Gagnon,15-30,0-0,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,86323.0,,,Anne Lutkemeyer,12,9 - 12,0,1,2nd Serve In,T,Body,T,False,Far,-101.0,-1.0,-24.0,-178.0,Crosscourt,Forehand,Long,,Crosscourt,Backhand,Catherine Gagnon,Error,False,2.0,,0.0,0,0,0,0,15,30,,,2nd Serve In,Ad: T,,,,,,,,Crosscourt,Forehand,Crosscourt,Backhand,Error,UCLA,Michigan State University
"Set 1: 0-0, 30-30 Anne Lutkemeyer Serving",5,1,1,Anne Lutkemeyer,Catherine Gagnon,30-30,0-0,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,134759.0,134922.0,163.0,Catherine Gagnon,1,1 - 4,0,0,Double Fault,Body,Body,Body,False,Far,61.0,2.0,77.0,-252.0,,,,,,,Anne Lutkemeyer,,False,,,0.0,0,0,0,0,30,30,,,Double Fault,Deuce: Body,,,,,,,,,,,,,UCLA,Michigan State University
"Set 1: 0-0, 30-40 Anne Lutkemeyer Serving",6,1,1,Anne Lutkemeyer,Catherine Gagnon,30-40,0-0,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,181495.0,203494.0,21999.0,Catherine Gagnon,3,1 - 4,1,0,1st Serve In,T,T,,False,Far,-29.0,-166.0,,,Crosscourt,Forehand,Long,,Down the Line,Forehand,Anne Lutkemeyer,Error,True,,,0.0,0,0,0,0,30,40,,,1st Serve In,Ad: T,,,Down the Line,Forehand,Error,,,Crosscourt,Forehand,,,,UCLA,Michigan State University
"Set 1: 0-1, 0-0 Catherine Gagnon Serving",7,1,2,Anne Lutkemeyer,Catherine Gagnon,0-0,0-1,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,230490.0,,,Catherine Gagnon,2,1 - 4,0,1,2nd Serve In,Wide,Body,Wide,False,Far,56.0,2.0,120.0,-164.0,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Anne Lutkemeyer,Error,False,,,0.0,0,0,0,1,0,0,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,2nd Serve In,Deuce: Wide,,,,,,UCLA,Michigan State University
"Set 1: 0-1, 0-15 Catherine Gagnon Serving",8,1,2,Anne Lutkemeyer,Catherine Gagnon,0-15,0-1,0-0,,Ad,Catherine Gagnon,Anne Lutkemeyer,296100.0,,,Catherine Gagnon,4,1 - 4,0,1,2nd Serve In,T,Body,T,False,Far,-91.0,-262.0,-43.0,-148.0,Crosscourt,Forehand,Wide Right,,Down the Line,Forehand,Anne Lutkemeyer,Error,False,,,0.0,0,0,0,1,0,15,,,,,Crosscourt,Forehand,Down the Line,Forehand,Error,2nd Serve In,Ad: T,,,,,,UCLA,Michigan State University
"Set 1: 0-1, 0-30 Catherine Gagnon Serving",9,1,2,Anne Lutkemeyer,Catherine Gagnon,0-30,0-1,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,335514.0,,,Catherine Gagnon,8,5 - 8,0,1,2nd Serve In,Body,Body,Body,False,Far,88.0,2.0,80.0,-116.0,Down the Line,Forehand,Long,,Down the Line,Forehand,Anne Lutkemeyer,Error,False,,,0.0,0,0,0,1,0,30,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,2nd Serve In,Deuce: Body,,,,,,UCLA,Michigan State University
"Set 1: 0-1, 15-30 Catherine Gagnon Serving",10,1,2,Anne Lutkemeyer,Catherine Gagnon,15-30,0-1,0-0,,Ad,Catherine Gagnon,Anne Lutkemeyer,392535.0,,,Catherine Gagnon,16,13 +,1,0,1st Serve In,Body,Body,,False,Far,-74.0,-147.0,,,Down the Line,Backhand,Wide Right,,Down the Line,Forehand,Anne Lutkemeyer,Error,False,,,0.0,0,0,0,1,15,30,,,,,Down the Line,Backhand,Down the Line,Forehand,Error,1st Serve In,Ad: Body,,,,,,UCLA,Michigan State University
"Set 1: 0-1, 15-40 Catherine Gagnon Serving",11,1,2,Anne Lutkemeyer,Catherine Gagnon,15-40,0-1,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,432100.0,,,Anne Lutkemeyer,7,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Far,126.0,-171.0,,,Down the Line,Forehand,Net,,Crosscourt,Forehand,Catherine Gagnon,Error,True,Anne Lutkemeyer,Catherine Gagnon,0.0,0,0,0,1,15,40,,,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Wide,,,Crosscourt,Forehand,Error,UCLA,Michigan State University
"Set 1: 0-1, 30-40 Catherine Gagnon Serving",12,1,2,Anne Lutkemeyer,Catherine Gagnon,30-40,0-1,0-0,,Ad,Catherine Gagnon,Anne Lutkemeyer,475321.0,,,Catherine Gagnon,8,5 - 8,1,0,1st Serve In,Body,Body,,False,Far,-85.0,-155.0,,,Crosscourt,Backhand,Wide Right,,Down the Line,Forehand,Anne Lutkemeyer,Error,True,,,0.0,0,0,0,1,30,40,,,,,Crosscourt,Backhand,Down the Line,Forehand,Error,1st Serve In,Ad: Body,,,,,,UCLA,Michigan State University
"Set 1: 0-2, 0-0 Anne Lutkemeyer Serving",13,1,3,Anne Lutkemeyer,Catherine Gagnon,0-0,0-2,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,545811.0,,,Catherine Gagnon,2,1 - 4,0,1,2nd Serve In,Body,Wide,Body,False,Near,-187.0,146.0,-69.0,166.0,Down the Line,Forehand,,,Down the Line,Forehand,Catherine Gagnon,Winner,False,,,0.0,0,0,0,2,0,0,,,2nd Serve In,Deuce: Body,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Winner,UCLA,Michigan State University
"Set 1: 0-2, 0-15 Anne Lutkemeyer Serving",14,1,3,Anne Lutkemeyer,Catherine Gagnon,0-15,0-2,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,563248.0,,,Anne Lutkemeyer,5,5 - 8,0,1,2nd Serve In,Body,Body,Body,False,Near,94.0,2.0,99.0,203.0,Down the Line,Forehand,,,Down the Line,Forehand,Anne Lutkemeyer,Winner,False,Anne Lutkemeyer,,0.0,0,0,0,2,0,15,,,2nd Serve In,Ad: Body,,,Down the Line,Forehand,Winner,,,Down the Line,Forehand,,,,UCLA,Michigan State University
"Set 1: 0-2, 15-15 Anne Lutkemeyer Serving",15,1,3,Anne Lutkemeyer,Catherine Gagnon,15-15,0-2,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,632966.0,,,Anne Lutkemeyer,3,1 - 4,1,0,1st Serve In,T,T,,False,Near,-48.0,234.0,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Anne Lutkemeyer,Winner,False,2.0,,0.0,0,0,0,2,15,15,,,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Winner,,,Crosscourt,Backhand,,,,UCLA,Michigan State University
"Set 1: 0-2, 30-15 Anne Lutkemeyer Serving",16,1,3,Anne Lutkemeyer,Catherine Gagnon,30-15,0-2,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,639467.0,,,Anne Lutkemeyer,7,5 - 8,1,0,1st Serve In,T,T,,False,Near,48.0,194.0,,,Crosscourt,Forehand,,,Crosscourt,Forehand,Anne Lutkemeyer,Winner,False,,,0.0,0,0,0,2,30,15,,,1st Serve In,Ad: T,,,Crosscourt,Forehand,Winner,,,Crosscourt,Forehand,,,,UCLA,Michigan State University
"Set 1: 0-2, 40-15 Anne Lutkemeyer Serving",17,1,3,Anne Lutkemeyer,Catherine Gagnon,40-15,0-2,0-0,,Deuce,Anne Lutkemeyer,Catherine Gagnon,673079.0,675271.0,2192.0,Catherine Gagnon,1,1 - 4,0,0,Double Fault,Body,Body,Body,False,Near,-76.0,2.0,-70.0,1.0,,,,,,,Anne Lutkemeyer,,False,Anne Lutkemeyer,,0.0,0,0,0,2,40,15,,,Double Fault,Deuce: Body,,,,,,,,,,,,,UCLA,Michigan State University
"Set 1: 0-2, 40-30 Anne Lutkemeyer Serving",18,1,3,Anne Lutkemeyer,Catherine Gagnon,40-30,0-2,0-0,,Ad,Anne Lutkemeyer,Catherine Gagnon,726468.0,,,Anne Lutkemeyer,14,13 +,1,0,1st Serve In,Body,Body,,False,Near,74.0,207.0,,,Down the Line,Backhand,Wide Left,,Crosscourt,Forehand,Catherine Gagnon,Error,False,,,0.0,0,0,0,2,40,30,,,1st Serve In,Ad: Body,,,,,,,,Down the Line,Backhand,Crosscourt,Forehand,Error,UCLA,Michigan State University
"Set 1: 1-2, 0-0 Catherine Gagnon Serving",19,1,4,Anne Lutkemeyer,Catherine Gagnon,0-0,1-2,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,865396.0,,,Anne Lutkemeyer,5,5 - 8,1,0,1st Serve In,T,T,,False,Near,-29.0,234.0,,,Down the Line,Backhand,Wide Right,,Down the Line,Forehand,Catherine Gagnon,Error,False,,,0.0,0,0,1,2,0,0,,,,,Down the Line,Backhand,,,,1st Serve In,Deuce: T,,,Down the Line,Forehand,Error,UCLA,Michigan State University
"Set 1: 1-2, 15-0 Catherine Gagnon Serving",20,1,4,Anne Lutkemeyer,Catherine Gagnon,15-0,1-2,0-0,,Ad,Catherine Gagnon,Anne Lutkemeyer,877070.0,,,Anne Lutkemeyer,3,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Near,112.0,207.0,,,Down the Line,Backhand,Wide Left,,Crosscourt,Forehand,Catherine Gagnon,Error,False,,,,0,0,1,2,15,0,,,,,Down the Line,Backhand,,,,1st Serve In,Ad: Wide,,,Crosscourt,Forehand,Error,UCLA,Michigan State University
"Set 1: 1-2, 30-0 Catherine Gagnon Serving",21,1,4,Anne Lutkemeyer,Catherine Gagnon,30-0,1-2,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,906700.0,,,Anne Lutkemeyer,5,5 - 8,1,0,1st Serve In,Body,Body,,False,Near,-77.0,207.0,,,Down the Line,Forehand,Long,,Down the Line,Forehand,Catherine Gagnon,Error,False,,,,0,0,1,2,30,0,,,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Error,UCLA,Michigan State University
"Set 1: 1-2, 30-15 Catherine Gagnon Serving",22,1,4,Anne Lutkemeyer,Catherine Gagnon,30-15,1-2,0-0,,Ad,Catherine Gagnon,Anne Lutkemeyer,935977.0,935977.0,0.0,Anne Lutkemeyer,1,1 - 4,0,0,Double Fault,Body,T,Body,False,Near,48.0,2.0,83.0,4.0,,,,,,,Catherine Gagnon,,False,,,,0,0,1,2,30,15,,,,,,,,,,Double Fault,Ad: Body,,,,,,UCLA,Michigan State University
"Set 1: 1-2, 40-15 Catherine Gagnon Serving",23,1,4,Anne Lutkemeyer,Catherine Gagnon,40-15,1-2,0-0,,Deuce,Catherine Gagnon,Anne Lutkemeyer,984673.0,1028195.0,43522.0,Anne Lutkemeyer,17,13 +,1,0,1st Serve In,Body,Body,,False,Near,-85.0,212.0,,,Down the Line,Forehand,Net,,Down the Line,Backhand,Catherine Gagnon,Error,False,,,,0,0,1,2,40,15,,,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Body,,,Down the Line,Backhand,Error,UCLA,Michigan State University
