Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,isExcitingPoint,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 1: 0-0, 0-0 Jo-Yee Chan Serving",1,1,1,Elise Wagle,Jo-Yee Chan,0-0,0-0,0-0,,Deuce,Jo-Yee Chan,Elise Wagle,11353.0,,,Elise Wagle,9,9 - 12,1,0,1st Serve In,Body,Body,,False,Far,93.0,-208.0,,,Down the Line,Forehand,Net,,Down the Line,Forehand,Jo-Yee Chan,Error,False,,,,0,0,0,0,0,0,,,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Error,UCLA,Oregon
"Set 1: 0-0, 15-0 Jo-Yee Chan Serving",2,1,1,Elise Wagle,Jo-Yee Chan,15-0,0-0,0-0,,Ad,Jo-Yee Chan,Elise Wagle,45545.0,55142.0,9597.0,Jo-Yee Chan,3,1 - 4,1,0,1st Serve In,Body,Body,,False,Far,-91.0,-242.0,,,Crosscourt,Forehand,,,Down the Line,Backhand,Jo-Yee Chan,Winner,False,Elise Wagle,,0.0,0,0,0,0,15,0,,,,,Crosscourt,Forehand,,,,1st Serve In,Ad: Body,,,Down the Line,Backhand,Winner,UCLA,Oregon
"Set 1: 0-0, 15-15 Jo-Yee Chan Serving",3,1,1,Elise Wagle,Jo-Yee Chan,15-15,0-0,0-0,,Deuce,Jo-Yee Chan,Elise Wagle,53280.0,,,Elise Wagle,1,1 - 4,0,0,Double Fault,Body,Body,Body,False,Far,80.0,-2.0,82.0,-262.0,,,,,,,Jo-Yee Chan,,False,,,0.0,0,0,0,0,15,15,,,,,,,,,,Double Fault,Deuce: Body,,,,,,UCLA,Oregon
"Set 1: 0-0, 30-15 Jo-Yee Chan Serving",4,1,1,Elise Wagle,Jo-Yee Chan,30-15,0-0,0-0,,Ad,Jo-Yee Chan,Elise Wagle,86438.0,,,Elise Wagle,1,1 - 4,0,0,Double Fault,Wide,Body,Wide,False,Far,-61.0,1.0,-144.0,-262.0,,,,,,,Jo-Yee Chan,,False,Elise Wagle,,0.0,0,0,0,0,30,15,,,,,,,,,,Double Fault,Ad: Wide,,,,,,UCLA,Oregon
"Set 1: 0-0, 40-15 Jo-Yee Chan Serving",5,1,1,Elise Wagle,Jo-Yee Chan,40-15,0-0,0-0,,Deuce,Jo-Yee Chan,Elise Wagle,142016.0,,,Jo-Yee Chan,3,1 - 4,1,0,1st Serve In,Body,Body,,False,Far,101.0,-236.0,,,Down the Line,Forehand,,,Crosscourt,Backhand,Jo-Yee Chan,Winner,False,,,0.0,0,0,0,0,40,15,,,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Body,,,Crosscourt,Backhand,Winner,UCLA,Oregon
"Set 1: 0-0, 40-30 Jo-Yee Chan Serving",6,1,1,Elise Wagle,Jo-Yee Chan,40-30,0-0,0-0,,Ad,Jo-Yee Chan,Elise Wagle,168113.0,199576.0,31463.0,Elise Wagle,11,9 - 12,0,1,2nd Serve In,Body,Wide,Body,False,Far,-125.0,-271.0,-64.0,-163.0,Crosscourt,Forehand,Wide Left,,Down the Line,Forehand,Jo-Yee Chan,Error,False,,,0.0,0,0,0,0,40,30,,,,,Crosscourt,Forehand,,,,2nd Serve In,Ad: Body,,,Down the Line,Forehand,Error,UCLA,Oregon
"Set 1: 1-0, 0-0 Elise Wagle Serving",7,1,2,Elise Wagle,Jo-Yee Chan,0-0,1-0,0-0,,Deuce,Elise Wagle,Jo-Yee Chan,278401.0,,,Elise Wagle,2,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Far,130.0,-212.0,,,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Jo-Yee Chan,Error,False,,,0.0,0,0,1,0,0,0,,,1st Serve In,Deuce: Wide,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,UCLA,Oregon
"Set 1: 1-0, 15-0 Elise Wagle Serving",8,1,2,Elise Wagle,Jo-Yee Chan,15-0,1-0,0-0,,Ad,Elise Wagle,Jo-Yee Chan,295012.0,,,Jo-Yee Chan,3,1 - 4,1,0,1st Serve In,T,T,,False,Far,-11.0,-218.0,,,Down the Line,Forehand,Long,,Crosscourt,Backhand,Elise Wagle,Error,False,,,0.0,0,0,1,0,15,0,,,1st Serve In,Ad: T,,,Crosscourt,Backhand,Error,,,Down the Line,Forehand,,,,UCLA,Oregon
"Set 1: 1-0, 15-15 Elise Wagle Serving",9,1,2,Elise Wagle,Jo-Yee Chan,15-15,1-0,0-0,,Deuce,Elise Wagle,Jo-Yee Chan,321798.0,,,Jo-Yee Chan,6,5 - 8,0,1,2nd Serve In,Body,T,Body,False,Far,16.0,1.0,72.0,-227.0,Crosscourt,Forehand,,,Crosscourt,Forehand,Jo-Yee Chan,Winner,False,Elise Wagle,,0.0,0,0,1,0,15,15,,,2nd Serve In,Deuce: Body,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Winner,UCLA,Oregon
"Set 1: 1-0, 15-30 Elise Wagle Serving",10,1,2,Elise Wagle,Jo-Yee Chan,15-30,1-0,0-0,,Ad,Elise Wagle,Jo-Yee Chan,383914.0,,,Jo-Yee Chan,9,9 - 12,1,0,1st Serve In,Body,Body,,False,Far,-96.0,-231.0,,,Crosscourt,Backhand,Net,,Down the Line,Backhand,Elise Wagle,Error,False,,,0.0,0,0,1,0,15,30,,,1st Serve In,Ad: Body,,,Down the Line,Backhand,Error,,,Crosscourt,Backhand,,,,UCLA,Oregon
