pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Emon Van Loben Sels,Corey Craig,0-0,0-0,0-0,,Deuce,Emon Van Loben Sels,Corey Craig,UCLA,Florida State University,1496.0,12893.0,11397.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,-136.0,202.0,,,Down the Line,Backhand,Long,Long,Down the Line,Backhand,Corey Craig,Error,Emon Van Loben Sels,,False,,,1,0,0,0,0,0,0,,,1,1st Serve In,Deuce: Wide,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 0-0 Emon Van Loben Sels Serving"
2,Emon Van Loben Sels,Corey Craig,15-0,0-0,0-0,,Ad,Emon Van Loben Sels,Corey Craig,UCLA,Florida State University,12883.0,55507.0,42624.0,8,5-8,0,1,2nd Serve In,Wide,T,Wide,False,Near,,,48.0,3.0,125.0,214.0,Down the Line,Forehand,,,Crosscourt,Backhand,Corey Craig,Winner,Corey Craig,0.0,False,Emon Van Loben Sels,,1,0,0,0,0,15,0,,,1,2nd Serve In,Ad: Wide,,,,,,,,Down the Line,Forehand,Crosscourt,Backhand,Winner,1.0,1.0,3.0,2.0,"Set 1: 0-0, 15-0 Emon Van Loben Sels Serving"
3,Emon Van Loben Sels,Corey Craig,15-15,0-0,0-0,,Deuce,Emon Van Loben Sels,Corey Craig,UCLA,Florida State University,55497.0,118961.0,63464.0,4,1-4,0,1,2nd Serve In,Body,T,Body,False,Near,,,-34.0,3.0,-80.0,193.0,Crosscourt,Forehand,Net,,Down the Line,Backhand,Corey Craig,Error,Emon Van Loben Sels,0.0,False,,,1,0,0,0,0,15,15,,,1,2nd Serve In,Deuce: Body,,,,,,,,Crosscourt,Forehand,Down the Line,Backhand,Error,0.0,0.0,1.0,1.0,"Set 1: 0-0, 15-15 Emon Van Loben Sels Serving"
4,Emon Van Loben Sels,Corey Craig,30-15,0-0,0-0,,Ad,Emon Van Loben Sels,Corey Craig,UCLA,Florida State University,118951.0,180270.0,61319.0,12,9-12,0,1,2nd Serve In,Wide,Body,Wide,False,Near,,,86.0,1.0,117.0,206.0,Down the Line,Forehand,Wide Right,,Down the Line,Backhand,Corey Craig,Error,Emon Van Loben Sels,0.0,False,,,1,0,0,0,0,30,15,,,1,2nd Serve In,Ad: Wide,,,,,,,,Down the Line,Forehand,Down the Line,Backhand,Error,2.0,1.0,3.0,4.0,"Set 1: 0-0, 30-15 Emon Van Loben Sels Serving"
5,Emon Van Loben Sels,Corey Craig,40-15,0-0,0-0,,Deuce,Emon Van Loben Sels,Corey Craig,UCLA,Florida State University,180260.0,221201.0,40941.0,5,5-8,1,0,1st Serve In,Body,Body,,False,Near,,,-98.0,211.0,,,Down the Line,Backhand,,,Down the Line,Backhand,Emon Van Loben Sels,Winner,Emon Van Loben Sels,0.0,False,Emon Van Loben Sels,,1,0,0,0,0,40,15,,,1,1st Serve In,Deuce: Body,,,Down the Line,Backhand,Winner,,,Down the Line,Backhand,,,,0.0,1.0,2.0,1.0,"Set 1: 0-0, 40-15 Emon Van Loben Sels Serving"
6,Emon Van Loben Sels,Corey Craig,0-0,1-0,0-0,,Deuce,Corey Craig,Emon Van Loben Sels,UCLA,Florida State University,221191.0,324337.0,103146.0,14,13+,0,1,2nd Serve In,Body,Wide,Body,False,Near,,,-120.0,254.0,-61.0,174.0,Down the Line,Forehand,Long,,Crosscourt,Backhand,Emon Van Loben Sels,Error,Corey Craig,0.0,False,,,1,0,0,1,0,0,0,,,2,,,Down the Line,Forehand,Crosscourt,Backhand,Error,2nd Serve In,Deuce: Body,,,,,,2.0,3.0,4.0,3.0,"Set 1: 1-0, 0-0 Corey Craig Serving"
7,Emon Van Loben Sels,Corey Craig,15-0,1-0,0-0,,Ad,Corey Craig,Emon Van Loben Sels,UCLA,Florida State University,349465.0,359855.0,10390.0,6,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,,,117.0,185.0,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Emon Van Loben Sels,Winner,Emon Van Loben Sels,0.0,False,,,1,0,0,1,0,15,0,,,2,,,Crosscourt,Backhand,Crosscourt,Forehand,Winner,1st Serve In,Ad: Wide,,,,,,0.0,1.0,2.0,2.0,"Set 1: 1-0, 15-0 Corey Craig Serving"
8,Emon Van Loben Sels,Corey Craig,15-15,1-0,0-0,,Deuce,Corey Craig,Emon Van Loben Sels,UCLA,Florida State University,363791.0,381463.0,17672.0,2,1-4,1,0,1st Serve In,T,T,,False,Near,,,-10.0,227.0,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Emon Van Loben Sels,Error,Corey Craig,0.0,False,,,1,0,0,1,0,15,15,,,2,,,Down the Line,Backhand,Down the Line,Backhand,Error,1st Serve In,Deuce: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-0, 15-15 Corey Craig Serving"
9,Emon Van Loben Sels,Corey Craig,30-15,1-0,0-0,,Ad,Corey Craig,Emon Van Loben Sels,UCLA,Florida State University,381453.0,413937.0,32484.0,5,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,,,149.0,233.0,,,Crosscourt,Backhand,Wide Right,,Down the Line,Backhand,Corey Craig,Error,Emon Van Loben Sels,0.0,False,,,1,0,0,1,0,30,15,,,2,,,Crosscourt,Backhand,,,,1st Serve In,Ad: Wide,,,Down the Line,Backhand,Error,0.0,0.0,1.0,2.0,"Set 1: 1-0, 30-15 Corey Craig Serving"
10,Emon Van Loben Sels,Corey Craig,30-30,1-0,0-0,,Deuce,Corey Craig,Emon Van Loben Sels,UCLA,Florida State University,413927.0,450021.0,36094.0,5,5-8,1,0,1st Serve In,T,T,,False,Near,,,-45.0,217.0,,,Down the Line,Backhand,,,Crosscourt,Backhand,Corey Craig,Winner,Corey Craig,0.0,False,,,1,0,0,1,0,30,30,,,2,,,Down the Line,Backhand,,,,1st Serve In,Deuce: T,,,Crosscourt,Backhand,Winner,0.0,1.0,2.0,1.0,"Set 1: 1-0, 30-30 Corey Craig Serving"
