pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Emon Van Loben Sels,Derrick Chen,0-0,0-0,0-0,,Deuce,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,616296.0,626822.0,10526.0,7,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,,,-118.0,164.0,,,Down the Line,Forehand,,,Crosscourt,Forehand,Emon Van Loben Sels,Winner,Emon Van Loben Sels,,False,Emon Van Loben Sels,,1,0,0,0,0,0,0,,,1,1st Serve In,Deuce: Wide,,,Crosscourt,Forehand,Winner,,,Down the Line,Forehand,,,,0.0,0.0,3.0,3.0,"Set 1: 0-0, 0-0 Emon Van Loben Sels Serving"
2,Emon Van Loben Sels,Derrick Chen,15-0,0-0,0-0,,Ad,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,660020.0,692712.0,32692.0,5,5-8,0,1,2nd Serve In,Body,Body,Body,False,Near,,,82.0,297.0,100.0,214.0,Crosscourt,Forehand,Wide Right,,Crosscourt,Backhand,Emon Van Loben Sels,Error,Derrick Chen,0.0,False,,,1,0,0,0,0,15,0,,,1,2nd Serve In,Ad: Body,,,Crosscourt,Backhand,Error,,,Crosscourt,Forehand,,,,0.0,0.0,2.0,1.0,"Set 1: 0-0, 15-0 Emon Van Loben Sels Serving"
3,Emon Van Loben Sels,Derrick Chen,15-15,0-0,0-0,,Deuce,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,710770.0,719459.0,8689.0,5,5-8,1,0,1st Serve In,T,T,,False,Near,,,-22.0,199.0,,,Down the Line,Backhand,,,Down the Line,Backhand,Emon Van Loben Sels,Winner,Emon Van Loben Sels,0.0,False,Emon Van Loben Sels,Derrick Chen,1,0,0,0,0,15,15,,,1,1st Serve In,Deuce: T,,,Down the Line,Backhand,Winner,,,Down the Line,Backhand,,,,0.0,1.0,2.0,1.0,"Set 1: 0-0, 15-15 Emon Van Loben Sels Serving"
4,Emon Van Loben Sels,Derrick Chen,30-15,0-0,0-0,,Ad,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,747009.0,753548.0,6539.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,111.0,135.0,,,Down the Line,Backhand,Long,Long,Down the Line,Backhand,Derrick Chen,Error,Emon Van Loben Sels,0.0,False,,,1,0,0,0,0,30,15,,,1,1st Serve In,Ad: Wide,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 30-15 Emon Van Loben Sels Serving"
5,Emon Van Loben Sels,Derrick Chen,40-15,0-0,0-0,,Deuce,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,778909.0,787178.0,8269.0,7,5-8,1,0,1st Serve In,T,T,,False,Near,,,-25.0,201.0,,,Crosscourt,Backhand,,,Crosscourt,Backhand,Emon Van Loben Sels,Winner,Emon Van Loben Sels,0.0,False,Emon Van Loben Sels,,1,0,0,0,0,40,15,,,1,1st Serve In,Deuce: T,,,Crosscourt,Backhand,Winner,,,Crosscourt,Backhand,,,,0.0,0.0,3.0,3.0,"Set 1: 0-0, 40-15 Emon Van Loben Sels Serving"
6,Emon Van Loben Sels,Derrick Chen,0-0,1-0,0-0,,Deuce,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,863121.0,885951.0,22830.0,8,5-8,1,0,1st Serve In,Body,Body,,False,Near,,,-62.0,230.0,,,Down the Line,Forehand,Wide Left,,Crosscourt,Forehand,Emon Van Loben Sels,Error,Derrick Chen,0.0,False,,,1,0,0,1,0,0,0,,,2,,,Down the Line,Forehand,Crosscourt,Forehand,Error,1st Serve In,Deuce: Body,,,,,,0.0,0.0,3.0,3.0,"Set 1: 1-0, 0-0 Derrick Chen Serving"
7,Emon Van Loben Sels,Derrick Chen,15-0,1-0,0-0,,Ad,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,909668.0,922409.0,12741.0,6,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,,,119.0,129.0,,,Crosscourt,Backhand,Long,,Crosscourt,Backhand,Emon Van Loben Sels,Error,Derrick Chen,1.0,False,,,1,0,0,1,0,15,0,,,2,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,1st Serve In,Ad: Wide,,,,,,1.0,0.0,1.0,2.0,"Set 1: 1-0, 15-0 Derrick Chen Serving"
8,Emon Van Loben Sels,Derrick Chen,30-0,1-0,0-0,,Deuce,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,938467.0,945998.0,7531.0,5,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,,,-118.0,132.0,,,Down the Line,Forehand,,,Down the Line,Backhand,Derrick Chen,Winner,Derrick Chen,0.0,False,,,1,0,0,1,0,30,0,,,2,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Wide,,,Down the Line,Backhand,Winner,1.0,1.0,1.0,1.0,"Set 1: 1-0, 30-0 Derrick Chen Serving"
9,Emon Van Loben Sels,Derrick Chen,40-0,1-0,0-0,,Ad,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,969506.0,975146.0,5640.0,2,1-4,1,0,1st Serve In,T,T,,False,Near,,,26.0,212.0,,,Crosscourt,Forehand,Wide Right,Wide Right,Crosscourt,Forehand,Emon Van Loben Sels,Error,Derrick Chen,0.0,False,,,1,0,0,1,0,40,0,,,2,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,1st Serve In,Ad: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-0, 40-0 Derrick Chen Serving"
10,Emon Van Loben Sels,Derrick Chen,0-0,1-1,0-0,,Deuce,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,1005680.0,1030122.0,24442.0,6,5-8,0,1,2nd Serve In,Body,T,Body,False,Far,,,-19.0,33.0,60.0,-225.0,Down the Line,Forehand,Net,,Crosscourt,Forehand,Derrick Chen,Error,Emon Van Loben Sels,0.0,False,,,1,0,0,1,1,0,0,,,3,2nd Serve In,Deuce: Body,,,,,,,,Down the Line,Forehand,Crosscourt,Forehand,Error,1.0,1.0,1.0,1.0,"Set 1: 1-1, 0-0 Emon Van Loben Sels Serving"
