pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Emon van Loben Sels,Hugo Hashimoto,0-0,0-0,0-0,,Deuce,Emon van Loben Sels,Hugo Hashimoto,UCLA,Columbia,19760,24180,4420,5,8-May,1,0,1st Serve In,T,T,,FALSE,Near,,,-47.14026137,217.0215496,,,Down the Line,Forehand,,,Down the Line,,Emon van Loben Sels,Winner,Emon van Loben Sels,,FALSE,Emon van Loben Sels,,1,0,0,0,0,0,0,,,1,1st Serve In,Deuce: T,,,Down the Line,,Winner,,,Down the Line,Forehand,,,,1,0,1,2,"Set 1: 0-0, 0-0 Emon van Loben Sels Serving"
2,Emon van Loben Sels,Hugo Hashimoto,15-0,0-0,0-0,,Ad,Emon van Loben Sels,Hugo Hashimoto,UCLA,Columbia,53990,70230,16240,6,8-May,0,1,2nd Serve In,Wide,Wide,Wide,FALSE,Near,,,157.7488353,244.8555829,147.6700295,240.3264053,Crosscourt,Forehand,Wide Left,,Crosscourt,Backhand,Hugo Hashimoto,Error,Emon van Loben Sels,0,FALSE,,,1,0,0,0,0,15,0,,,1,2nd Serve In,Ad: Wide,,,,,,,,Crosscourt,Forehand,Crosscourt,Backhand,Error,0,0,2,2,"Set 1: 0-0, 15-0 Emon van Loben Sels Serving"
3,Emon van Loben Sels,Hugo Hashimoto,30-0,0-0,0-0,,Deuce,Emon van Loben Sels,Hugo Hashimoto,UCLA,Columbia,98459,115919,17460,3,4-Jan,0,1,2nd Serve In,T,Body,T,FALSE,Near,,,-64.08961614,-225.4897583,-19.67199803,179.630572,Down the Line,Forehand,Net,,Down the Line,Backhand,Emon van Loben Sels,Winner,Emon van Loben Sels,0,FALSE,,,1,0,0,0,0,30,0,,,1,2nd Serve In,Deuce: T,,,Down the Line,Backhand,Winner,,,Down the Line,Forehand,,,,1,0,0,1,"Set 1: 0-0, 30-0 Emon van Loben Sels Serving"
4,Emon van Loben Sels,Hugo Hashimoto,40-0,0-0,0-0,,Ad,Emon van Loben Sels,Hugo Hashimoto,UCLA,Columbia,135889,150960,15071,5,8-May,1,1,1st Serve In,T,T,Wide,FALSE,Near,,,41.22004046,244.6390529,135.1312336,244.7867618,Crosscourt,Forehand,Net,,Down the Line,Backhand,Emon van Loben Sels,Error,Hugo Hashimoto,0,FALSE,,,1,0,0,0,0,40,0,,,1,1st Serve In,Ad: T,,,Down the Line,Backhand,Error,,,Crosscourt,Forehand,,,,0,0,1,2,"Set 1: 0-0, 40-0 Emon van Loben Sels Serving"
5,Emon van Loben Sels,Hugo Hashimoto,40-15,0-0,0-0,,Deuce,Emon van Loben Sels,Hugo Hashimoto,UCLA,Columbia,173089,187410,14321,11,12-Sep,0,0,Double Fault,,Body,,FALSE,Near,,,-54.4425689,245.860608,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Emon van Loben Sels,Winner,Emon van Loben Sels,0,FALSE,,,1,0,0,0,0,40,15,,,1,Double Fault,,,,Crosscourt,Forehand,,,,Crosscourt,Backhand,,,,3,2,2,3,"Set 1: 0-0, 40-15 Emon van Loben Sels Serving"
6,Emon van Loben Sels,Hugo Hashimoto,0-0,Jan-00,0-0,,Deuce,Hugo Hashimoto,Emon van Loben Sels,UCLA,Columbia,250020,250820,800,2,4-Jan,0,0,Double Fault,,T,,FALSE,Near,,,-44.87900262,267.0648513,,,Crosscourt,Backhand,Long,Long,Crosscourt,Backhand,Emon van Loben Sels,Error,Hugo Hashimoto,0,FALSE,,,1,0,0,1,0,0,0,,,2,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,Double Fault,,,,,,,0,0,0,0,"Set 1: 1-0, 0-0 Hugo Hashimoto Serving"
7,Emon van Loben Sels,Hugo Hashimoto,15-0,Jan-00,0-0,,Ad,Hugo Hashimoto,Emon van Loben Sels,UCLA,Columbia,266519,291510,24991,6,8-May,0,1,2nd Serve In,Wide,T,Wide,FALSE,Near,,,46.15468066,-37.90503062,118.8638123,242.9375875,Down the Line,Forehand,Net,,Down the Line,Forehand,Emon van Loben Sels,Error,Hugo Hashimoto,0,FALSE,,,1,0,0,1,0,15,0,,,2,,,Down the Line,Forehand,Down the Line,Forehand,Error,2nd Serve In,Ad: Wide,,,,,,1,1,2,0,"Set 1: 1-0, 15-0 Hugo Hashimoto Serving"
8,Emon van Loben Sels,Hugo Hashimoto,15-15,Jan-00,0-0,,Deuce,Hugo Hashimoto,Emon van Loben Sels,UCLA,Columbia,317790,319959,2169,3,4-Jan,1,0,1st Serve In,T,T,,FALSE,Near,,,-43.87125984,194.5354659,,,Crosscourt,Backhand,Wide Right,,Down the Line,Backhand,Hugo Hashimoto,Error,Emon van Loben Sels,0,FALSE,,,1,0,0,1,0,15,15,,,2,,,Crosscourt,Backhand,,,,1st Serve In,Deuce: T,,,Down the Line,Backhand,Error,0,0,1,0,"Set 1: 1-0, 15-15 Hugo Hashimoto Serving"
9,Emon van Loben Sels,Hugo Hashimoto,15-30,Jan-00,0-0,,Ad,Hugo Hashimoto,Emon van Loben Sels,UCLA,Columbia,347119,369790,22671,4,4-Jan,0,1,2nd Serve In,Wide,T,Wide,FALSE,Near,,,27.38091645,-34.33992235,105.6621446,230.8332294,Down the Line,Backhand,Net,,Crosscourt,Forehand,Emon van Loben Sels,Error,Hugo Hashimoto,0,FALSE,,,1,0,0,1,0,15,30,,,2,,,Down the Line,Backhand,Crosscourt,Forehand,Error,2nd Serve In,Ad: Wide,,,,,,1,0,0,0,"Set 1: 1-0, 15-30 Hugo Hashimoto Serving"
10,Emon van Loben Sels,Hugo Hashimoto,30-30,Jan-00,0-0,,Deuce,Hugo Hashimoto,Emon van Loben Sels,UCLA,Columbia,396390,398450,2060,3,4-Jan,1,0,1st Serve In,Wide,Wide,,FALSE,Near,,,-136.6131452,244.8386647,,,Down the Line,Forehand,Net,,Down the Line,Backhand,Hugo Hashimoto,Error,Emon van Loben Sels,0,FALSE,,,1,0,0,1,0,30,30,,,2,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Wide,,,Down the Line,Backhand,Error,0,0,1,0,"Set 1: 1-0, 30-30 Hugo Hashimoto Serving"
