pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Emon van Loben Sels,Roger Pascual Ferra,0-0,0-0,0-0,,Deuce,Emon van Loben Sels,Roger Pascual Ferra,UCLA,TCU,970.0,1730.0,760.0,2,1-4,1,0,1st Serve In,T,T,,False,Near,,,-5.368733596,241.4745844,,,Crosscourt,Forehand,Net,Net,Crosscourt,Forehand,Roger Pascual Ferra,Error,Emon van Loben Sels,,False,,,1,0,0,0,0,0,0,,,1,1st Serve In,Deuce: T,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 0-0 Emon van Loben Sels Serving"
2,Emon van Loben Sels,Roger Pascual Ferra,15-0,0-0,0-0,,Ad,Emon van Loben Sels,Roger Pascual Ferra,UCLA,TCU,18469.0,19370.0,901.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,123.8216098,190.2804243,,,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Roger Pascual Ferra,Error,Emon van Loben Sels,0.0,False,,,1,0,0,0,0,15,0,,,1,1st Serve In,Ad: Wide,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 15-0 Emon van Loben Sels Serving"
3,Emon van Loben Sels,Roger Pascual Ferra,30-0,0-0,0-0,,Deuce,Emon van Loben Sels,Roger Pascual Ferra,UCLA,TCU,34330.0,34900.0,570.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,-106.626635,203.1427712,,,Crosscourt,Backhand,Net,Net,Crosscourt,Backhand,Roger Pascual Ferra,Error,Emon van Loben Sels,0.0,False,,,1,0,0,0,0,30,0,,,1,1st Serve In,Deuce: Wide,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 30-0 Emon van Loben Sels Serving"
4,Emon van Loben Sels,Roger Pascual Ferra,40-0,0-0,0-0,,Ad,Emon van Loben Sels,Roger Pascual Ferra,UCLA,TCU,55500.0,69699.0,14199.0,5,5-8,0,0,Double Fault,Body,Body,Body,False,Near,,,97.25533136,-21.96514108,88.75175525,246.7445647,Down the Line,Forehand,Net,,Down the Line,Forehand,Emon van Loben Sels,Error,Roger Pascual Ferra,0.0,False,Emon van Loben Sels,,1,0,0,0,0,40,0,,,1,Double Fault,Ad: Body,,,Down the Line,Forehand,,,,Down the Line,Forehand,,,,1.0,0.0,0.0,2.0,"Set 1: 0-0, 40-0 Emon van Loben Sels Serving"
5,Emon van Loben Sels,Roger Pascual Ferra,40-15,0-0,0-0,,Deuce,Emon van Loben Sels,Roger Pascual Ferra,UCLA,TCU,90099.0,90099.0,0.0,1,1-4,1,0,1st Serve In,T,T,,True,Near,,,-10.72900809,229.7024278,,,,,,,,,Emon van Loben Sels,,Emon van Loben Sels,0.0,False,,,1,0,0,0,0,40,15,,,1,Ace,Deuce: T,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 40-15 Emon van Loben Sels Serving"
6,Emon van Loben Sels,Roger Pascual Ferra,0-0,1-0,0-0,,Deuce,Roger Pascual Ferra,Emon van Loben Sels,UCLA,TCU,149100.0,164100.0,15000.0,4,1-4,0,1,2nd Serve In,Body,T,Body,False,Near,,,-40.67410324,-5.130807087,-65.92596785,194.3221511,Crosscourt,Forehand,Net,,Down the Line,Backhand,Emon van Loben Sels,Error,Roger Pascual Ferra,0.0,False,,,1,0,0,1,0,0,0,,,2,,,Crosscourt,Forehand,Down the Line,Backhand,Error,2nd Serve In,Deuce: Body,,,,,,0.0,0.0,1.0,1.0,"Set 1: 1-0, 0-0 Roger Pascual Ferra Serving"
7,Emon van Loben Sels,Roger Pascual Ferra,15-0,1-0,0-0,,Ad,Roger Pascual Ferra,Emon van Loben Sels,UCLA,TCU,184500.0,189880.0,5380.0,5,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,,,113.5744259,188.2304517,,,Down the Line,Backhand,,,Down the Line,Forehand,Roger Pascual Ferra,Winner,Roger Pascual Ferra,0.0,False,,Roger Pascual Ferra,1,0,0,1,0,15,0,,,2,,,Down the Line,Backhand,,,,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Winner,0.0,0.0,2.0,2.0,"Set 1: 1-0, 15-0 Roger Pascual Ferra Serving"
8,Emon van Loben Sels,Roger Pascual Ferra,30-0,1-0,0-0,,Deuce,Roger Pascual Ferra,Emon van Loben Sels,UCLA,TCU,215500.0,229729.0,14229.0,3,1-4,1,1,1st Serve In,Body,Body,Wide,False,Near,,,-59.36951553,244.2681157,-123.6530785,242.0953521,Down the Line,Backhand,Net,,Crosscourt,Backhand,Roger Pascual Ferra,Error,Emon van Loben Sels,0.0,False,,,1,0,0,1,0,30,0,,,2,,,Down the Line,Backhand,,,,1st Serve In,Deuce: Body,,,Crosscourt,Backhand,Error,0.0,0.0,1.0,0.0,"Set 1: 1-0, 30-0 Roger Pascual Ferra Serving"
9,Emon van Loben Sels,Roger Pascual Ferra,30-15,1-0,0-0,,Ad,Roger Pascual Ferra,Emon van Loben Sels,UCLA,TCU,258670.0,277799.0,19129.0,6,5-8,0,1,2nd Serve In,T,Wide,T,False,Near,,,198.4281441,-66.12523513,3.37946741,244.5595527,Crosscourt,Forehand,Net,,Down the Line,Backhand,Emon van Loben Sels,Error,Roger Pascual Ferra,0.0,False,,,1,0,0,1,0,30,15,,,2,,,Crosscourt,Forehand,Down the Line,Backhand,Error,2nd Serve In,Ad: T,,,,,,0.0,1.0,2.0,1.0,"Set 1: 1-0, 30-15 Roger Pascual Ferra Serving"
10,Emon van Loben Sels,Roger Pascual Ferra,40-15,1-0,0-0,,Deuce,Roger Pascual Ferra,Emon van Loben Sels,UCLA,TCU,302299.0,328380.0,26081.0,10,9-12,0,1,2nd Serve In,Wide,Wide,Wide,False,Near,,,-167.23604,263.2897583,-125.3520943,243.9690617,Down the Line,Forehand,Net,,Down the Line,Backhand,Emon van Loben Sels,Error,Roger Pascual Ferra,0.0,False,,,1,0,0,1,0,40,15,,,2,,,Down the Line,Forehand,Down the Line,Backhand,Error,2nd Serve In,Deuce: Wide,,,,,,0.0,1.0,4.0,3.0,"Set 1: 1-0, 40-15 Roger Pascual Ferra Serving"
