pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Giacomo Revelli,Henry Von Der Schulenberg,0-0,0-0,0-0,,Deuce,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,4330.0,26370.0,22040.0,17,13+,1,0,1st Serve In,T,T,,False,Far,,,47.69285871,-159.8451608,,,Down the Line,Backhand,Long,,Crosscourt,Forehand,Giacomo Revelli,Error,Henry Von Der Schulenberg,,False,,,1,0,0,0,0,0,0,,,1,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Error,,,Down the Line,Backhand,,,,3.0,7.0,4.0,1.0,"Set 1: 0-0, 0-0 Giacomo Revelli Serving"
2,Giacomo Revelli,Henry Von Der Schulenberg,0-15,0-0,0-0,,Ad,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,61180.0,79830.0,18650.0,8,5-8,0,1,2nd Serve In,Body,Body,Body,False,Far,,,-79.66672135,208.0678806,-68.49516076,-99.58564086,Crosscourt,Backhand,Net,,Crosscourt,Backhand,Henry Von Der Schulenberg,Error,Giacomo Revelli,0.0,False,,,1,0,0,0,0,0,15,,,1,2nd Serve In,Ad: Body,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,0.0,1.0,3.0,1.0,"Set 1: 0-0, 0-15 Giacomo Revelli Serving"
3,Giacomo Revelli,Henry Von Der Schulenberg,15-15,0-0,0-0,,Deuce,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,101900.0,121070.0,19170.0,8,5-8,0,1,2nd Serve In,T,Wide,T,False,Far,,,195.4580052,-141.961554,25.80476815,-145.5357338,Down the Line,Backhand,Long,,Down the Line,Forehand,Henry Von Der Schulenberg,Error,Giacomo Revelli,0.0,False,,,1,0,0,0,0,15,15,,,1,2nd Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,Forehand,Error,1.0,2.0,2.0,1.0,"Set 1: 0-0, 15-15 Giacomo Revelli Serving"
4,Giacomo Revelli,Henry Von Der Schulenberg,30-15,0-0,0-0,,Ad,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,145369.0,146100.0,731.0,2,1-4,0,1,2nd Serve In,T,,T,False,Far,,,,,-11.75412839,-166.64264,Down the Line,Forehand,Wide Left,Wide Left,Down the Line,Forehand,Henry Von Der Schulenberg,Error,Giacomo Revelli,0.0,False,,,1,0,0,0,0,30,15,,,1,2nd Serve In,Ad: T,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 30-15 Giacomo Revelli Serving"
5,Giacomo Revelli,Henry Von Der Schulenberg,40-15,0-0,0-0,,Deuce,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,164580.0,166399.0,1819.0,2,1-4,0,0,Double Fault,,Body,,False,Near,,,-98.18192804,70.99354221,,,Down the Line,Backhand,Long,Long,Down the Line,Backhand,Henry Von Der Schulenberg,Error,Giacomo Revelli,0.0,False,,,1,0,0,0,0,40,15,,,1,Double Fault,,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 40-15 Giacomo Revelli Serving"
6,Giacomo Revelli,Henry Von Der Schulenberg,0-0,1-0,0-0,,Deuce,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,220830.0,235899.0,15069.0,12,9-12,1,0,1st Serve In,T,T,,False,Far,,,39.60657262,-155.3356955,,,Down the Line,Backhand,Wide Left,,Down the Line,Backhand,Giacomo Revelli,Error,Henry Von Der Schulenberg,0.0,False,,,1,0,0,1,0,0,0,,,2,,,Down the Line,Backhand,Down the Line,Backhand,Error,1st Serve In,Deuce: T,,,,,,4.0,0.0,1.0,5.0,"Set 1: 1-0, 0-0 Henry Von Der Schulenberg Serving"
7,Giacomo Revelli,Henry Von Der Schulenberg,15-0,1-0,0-0,,Ad,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,256630.0,259200.0,2570.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,-141.0328139,-176.0844488,,,Down the Line,Backhand,,,Down the Line,Forehand,Henry Von Der Schulenberg,Winner,Henry Von Der Schulenberg,0.0,False,,,1,0,0,1,0,15,0,,,2,,,Down the Line,Backhand,,,,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Winner,1.0,1.0,0.0,0.0,"Set 1: 1-0, 15-0 Henry Von Der Schulenberg Serving"
8,Giacomo Revelli,Henry Von Der Schulenberg,30-0,1-0,0-0,,Deuce,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,285160.0,288480.0,3320.0,2,1-4,1,0,1st Serve In,T,T,,False,Far,,,6.375289808,-130.542115,,,Down the Line,Backhand,Wide Left,Wide Left,Down the Line,Backhand,Giacomo Revelli,Error,Henry Von Der Schulenberg,0.0,False,Giacomo Revelli,,1,0,0,1,0,30,0,,,2,,,Down the Line,Backhand,Down the Line,Backhand,Error,1st Serve In,Deuce: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-0, 30-0 Henry Von Der Schulenberg Serving"
9,Giacomo Revelli,Henry Von Der Schulenberg,40-0,1-0,0-0,,Ad,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,301679.0,302429.0,750.0,2,1-4,1,0,1st Serve In,T,T,,False,Far,,,-32.47065289,-158.3973917,,,Crosscourt,Forehand,Net,Net,Crosscourt,Forehand,Giacomo Revelli,Error,Henry Von Der Schulenberg,0.0,False,,,1,0,0,1,0,40,0,,,2,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,1st Serve In,Ad: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-0, 40-0 Henry Von Der Schulenberg Serving"
10,Giacomo Revelli,Henry Von Der Schulenberg,0-0,1-1,0-0,,Deuce,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,330329.0,354380.0,24051.0,7,5-8,0,1,2nd Serve In,Body,Wide,Body,False,Near,,,-115.4446905,-149.047944,-53.04107612,243.2554353,Down the Line,Forehand,Net,,Down the Line,Backhand,Giacomo Revelli,Error,Henry Von Der Schulenberg,0.0,False,,,1,0,0,1,1,0,0,,,3,2nd Serve In,Deuce: Body,,,Down the Line,Backhand,Error,,,Down the Line,Forehand,,,,2.0,1.0,0.0,2.0,"Set 1: 1-1, 0-0 Giacomo Revelli Serving"
11,Giacomo Revelli,Henry Von Der Schulenberg,0-15,1-1,0-0,,Ad,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,389899.0,403100.0,13201.0,5,5-8,0,1,2nd Serve In,Wide,Body,Wide,False,Near,,,100.8471566,-36.68489173,115.1976925,242.814988,Crosscourt,Backhand,Net,,Down the Line,Forehand,Giacomo Revelli,Error,Henry Von Der Schulenberg,0.0,False,,,1,0,0,1,1,0,15,,,3,2nd Serve In,Ad: Wide,,,Down the Line,Forehand,Error,,,Crosscourt,Backhand,,,,0.0,0.0,1.0,2.0,"Set 1: 1-1, 0-15 Giacomo Revelli Serving"
12,Giacomo Revelli,Henry Von Der Schulenberg,0-30,1-1,0-0,,Deuce,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,429059.0,476779.0,47720.0,7,5-8,0,1,2nd Serve In,Body,T,Body,False,Near,,,-27.88406059,274.4781605,-56.91220472,209.5890639,Down the Line,Forehand,Net,,Down the Line,,Giacomo Revelli,Error,Henry Von Der Schulenberg,0.0,False,Giacomo Revelli,,1,0,0,1,1,0,30,,,3,2nd Serve In,Deuce: Body,,,Down the Line,,Error,,,Down the Line,Forehand,,,,0.0,0.0,2.0,2.0,"Set 1: 1-1, 0-30 Giacomo Revelli Serving"
13,Giacomo Revelli,Henry Von Der Schulenberg,15-30,1-1,0-0,,Ad,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,501089.0,510980.0,9891.0,7,5-8,0,0,Double Fault,,Wide,,False,Near,,,133.1114993,287.2742509,,,Crosscourt,Backhand,Net,,Down the Line,,Giacomo Revelli,Error,Henry Von Der Schulenberg,0.0,False,Giacomo Revelli,,1,0,0,1,1,15,30,,,3,Double Fault,,,,Down the Line,,,,,Crosscourt,Backhand,,,,1.0,0.0,0.0,3.0,"Set 1: 1-1, 15-30 Giacomo Revelli Serving"
14,Giacomo Revelli,Henry Von Der Schulenberg,15-40,1-1,0-0,,Deuce,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,535489.0,571460.0,35971.0,5,5-8,1,1,1st Serve In,T,T,T,False,Near,,,-30.7125,243.1566437,-14.89237752,22.02083333,Down the Line,Forehand,,,Down the Line,Forehand,Giacomo Revelli,Winner,Giacomo Revelli,0.0,True,,,1,0,0,1,1,15,40,,,3,1st Serve In,Deuce: T,,,Down the Line,Forehand,Winner,,,Down the Line,Forehand,,,,0.0,0.0,2.0,2.0,"Set 1: 1-1, 15-40 Giacomo Revelli Serving"
15,Giacomo Revelli,Henry Von Der Schulenberg,30-40,1-1,0-0,,Ad,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,599330.0,661179.0,61849.0,23,13+,1,0,1st Serve In,T,T,,False,Near,,,24.8643154,233.4120297,,,Crosscourt,Forehand,Net,,Down the Line,Backhand,Giacomo Revelli,Error,Henry Von Der Schulenberg,0.0,True,,,1,0,0,1,1,30,40,,,3,1st Serve In,Ad: T,,,Down the Line,Backhand,Error,,,Crosscourt,Forehand,,,,5.0,5.0,4.0,5.0,"Set 1: 1-1, 30-40 Giacomo Revelli Serving"
16,Giacomo Revelli,Henry Von Der Schulenberg,0-0,1-2,0-0,,Deuce,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,718929.0,721989.0,3060.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,-138.9921424,242.7107229,,,Crosscourt,Forehand,,,Down the Line,Forehand,Henry Von Der Schulenberg,Winner,Henry Von Der Schulenberg,0.0,False,,,1,0,0,1,2,0,0,,,4,,,Crosscourt,Forehand,,,,1st Serve In,Deuce: Wide,,,Down the Line,Forehand,Winner,0.0,0.0,1.0,1.0,"Set 1: 1-2, 0-0 Henry Von Der Schulenberg Serving"
17,Giacomo Revelli,Henry Von Der Schulenberg,15-0,1-2,0-0,,Ad,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,740489.0,759859.0,19370.0,3,1-4,0,1,2nd Serve In,Body,Wide,Body,False,Near,,,106.1092137,-54.52804024,104.8399661,159.3283902,Crosscourt,Backhand,Net,,Down the Line,Forehand,Henry Von Der Schulenberg,Winner,Henry Von Der Schulenberg,0.0,False,,,1,0,0,1,2,15,0,,,4,,,Crosscourt,Backhand,,,,2nd Serve In,Ad: Body,,,Down the Line,Forehand,Winner,1.0,1.0,0.0,0.0,"Set 1: 1-2, 15-0 Henry Von Der Schulenberg Serving"
18,Giacomo Revelli,Henry Von Der Schulenberg,15-15,1-2,0-0,,Deuce,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,783390.0,811369.0,27979.0,7,5-8,0,1,2nd Serve In,Wide,Wide,Wide,False,Near,,,117.99153,-22.99833771,-115.6137577,244.9846129,Crosscourt,Forehand,Net,,Down the Line,Backhand,Henry Von Der Schulenberg,Error,Giacomo Revelli,0.0,False,,,1,0,0,1,2,15,15,,,4,,,Crosscourt,Forehand,,,,2nd Serve In,Deuce: Wide,,,Down the Line,Backhand,Error,0.0,1.0,3.0,1.0,"Set 1: 1-2, 15-15 Henry Von Der Schulenberg Serving"
19,Giacomo Revelli,Henry Von Der Schulenberg,15-30,1-2,0-0,,Ad,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,826059.0,833960.0,7901.0,7,5-8,1,0,1st Serve In,T,T,,False,Near,,,39.91443023,241.3133257,,,Crosscourt,Forehand,Long,,Crosscourt,Backhand,Henry Von Der Schulenberg,Error,Giacomo Revelli,0.0,False,,,1,0,0,1,2,15,30,,,4,,,Crosscourt,Forehand,,,,1st Serve In,Ad: T,,,Crosscourt,Backhand,Error,2.0,0.0,1.0,2.0,"Set 1: 1-2, 15-30 Henry Von Der Schulenberg Serving"
20,Giacomo Revelli,Henry Von Der Schulenberg,30-30,1-2,0-0,,Deuce,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,860190.0,869109.0,8919.0,8,5-8,1,0,1st Serve In,T,T,,False,Near,,,-35.96012686,237.9492454,,,Down the Line,Backhand,,,Down the Line,Forehand,Giacomo Revelli,Winner,Giacomo Revelli,0.0,False,,Henry Von Der Schulenberg,1,0,0,1,2,30,30,,,4,,,Down the Line,Backhand,Down the Line,Forehand,Winner,1st Serve In,Deuce: T,,,,,,1.0,0.0,3.0,2.0,"Set 1: 1-2, 30-30 Henry Von Der Schulenberg Serving"
21,Giacomo Revelli,Henry Von Der Schulenberg,30-40,1-2,0-0,,Ad,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,900760.0,912369.0,11609.0,10,9-12,1,0,1st Serve In,Wide,Wide,,False,Near,,,133.8555173,240.9284941,,,Down the Line,Backhand,Net,,Down the Line,Forehand,Giacomo Revelli,Error,Henry Von Der Schulenberg,0.0,True,,,1,0,0,1,2,30,40,,,4,,,Down the Line,Backhand,Down the Line,Forehand,Error,1st Serve In,Ad: Wide,,,,,,2.0,2.0,2.0,2.0,"Set 1: 1-2, 30-40 Henry Von Der Schulenberg Serving"
22,Giacomo Revelli,Henry Von Der Schulenberg,40-40,1-2,0-0,,Ad,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,944789.0,965309.0,20520.0,16,13+,1,0,1st Serve In,T,T,,False,Near,,,51.09066054,225.2286745,,,Crosscourt,Forehand,Long,,Down the Line,Forehand,Giacomo Revelli,Error,Henry Von Der Schulenberg,0.0,True,,,1,0,0,1,2,40,40,,,4,,,Crosscourt,Forehand,Down the Line,Forehand,Error,1st Serve In,Ad: T,,,,,,3.0,4.0,5.0,3.0,"Set 1: 1-2, 40-40 Henry Von Der Schulenberg Serving"
23,Giacomo Revelli,Henry Von Der Schulenberg,0-0,1-3,0-0,,Deuce,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,998469.0,1015460.0,16991.0,2,1-4,0,1,2nd Serve In,Body,T,Body,False,Far,,,30.21747047,236.9492727,65.6890748,-136.6111166,Crosscourt,Forehand,Net,Net,Crosscourt,Forehand,Henry Von Der Schulenberg,Winner,Henry Von Der Schulenberg,0.0,False,,,1,0,0,1,3,0,0,,,5,2nd Serve In,Deuce: Body,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Winner,0.0,1.0,0.0,0.0,"Set 1: 1-3, 0-0 Giacomo Revelli Serving"
24,Giacomo Revelli,Henry Von Der Schulenberg,0-15,1-3,0-0,,Ad,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,1037540.0,1041270.0,3730.0,4,1-4,1,0,1st Serve In,T,T,,False,Far,,,-4.509656605,-123.6954123,,,Crosscourt,Forehand,Net,,Down the Line,Forehand,Henry Von Der Schulenberg,Error,Giacomo Revelli,0.0,False,,,1,0,0,1,3,0,15,,,5,1st Serve In,Ad: T,,,,,,,,Crosscourt,Forehand,Down the Line,Forehand,Error,0.0,0.0,1.0,1.0,"Set 1: 1-3, 0-15 Giacomo Revelli Serving"
25,Giacomo Revelli,Henry Von Der Schulenberg,15-15,1-3,0-0,,Deuce,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,1071170.0,1086069.0,14899.0,3,1-4,0,1,2nd Serve In,T,Wide,T,False,Far,,,161.9968723,-125.3606299,46.68354659,-127.0478565,Down the Line,Forehand,Long,,Crosscourt,Forehand,Giacomo Revelli,Error,Henry Von Der Schulenberg,,False,,,1,0,0,1,3,15,15,,,5,2nd Serve In,Deuce: T,,,Crosscourt,Forehand,Error,,,Down the Line,Forehand,,,,0.0,1.0,0.0,0.0,"Set 1: 1-3, 15-15 Giacomo Revelli Serving"
26,Giacomo Revelli,Henry Von Der Schulenberg,15-30,1-3,0-0,,Ad,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,1111069.0,1118569.0,7500.0,9,9-12,1,0,1st Serve In,Wide,Wide,,False,Far,,,-145.6421041,-168.3132929,,,Crosscourt,Backhand,Net,,Crosscourt,,Giacomo Revelli,Error,Henry Von Der Schulenberg,,False,Giacomo Revelli,Henry Von Der Schulenberg,1,0,0,1,3,15,30,,,5,1st Serve In,Ad: Wide,,,Crosscourt,,Error,,,Crosscourt,Backhand,,,,1.0,0.0,0.0,3.0,"Set 1: 1-3, 15-30 Giacomo Revelli Serving"
