pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Giacomo Revelli,Timofey Stepanov,0-0,0-0,0-0,,Deuce,Giacomo Revelli,Timofey Stepanov,UCLA,California,5450.0,28570.0,23120.0,8,5-8,0,1,2nd Serve In,Body,T,Body,False,Near,,,0.569783465,246.3559438,-79.50917542,245.8654309,Crosscourt,Forehand,Wide Left,,Crosscourt,Forehand,Timofey Stepanov,Error,Giacomo Revelli,,False,,,1,0,0,0,0,0,0,,,1,2nd Serve In,Deuce: Body,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,0.0,2.0,1.0,1.0,"Set 1: 0-0, 0-0 Giacomo Revelli Serving"
2,Giacomo Revelli,Timofey Stepanov,0-15,0-0,0-0,,Ad,Giacomo Revelli,Timofey Stepanov,UCLA,California,52590.0,57619.0,5029.0,5,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,,,117.7396708,355.0113462,,,Down the Line,Backhand,Long,,Down the Line,Forehand,Giacomo Revelli,Error,Timofey Stepanov,0.0,False,,,1,0,0,0,0,0,15,,,1,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Error,,,Down the Line,Backhand,,,,0.0,0.0,0.0,1.0,"Set 1: 0-0, 0-15 Giacomo Revelli Serving"
3,Giacomo Revelli,Timofey Stepanov,0-30,0-0,0-0,,Deuce,Giacomo Revelli,Timofey Stepanov,UCLA,California,82889.0,100250.0,17361.0,13,13+,1,0,1st Serve In,Wide,Wide,,False,Near,,,-127.1285433,330.801635,,,Crosscourt,Forehand,,,Down the Line,Forehand,Giacomo Revelli,Winner,Giacomo Revelli,0.0,False,,,1,0,0,0,0,0,30,,,1,1st Serve In,Deuce: Wide,,,Down the Line,Forehand,Winner,,,Crosscourt,Forehand,,,,2.0,2.0,3.0,4.0,"Set 1: 0-0, 0-30 Giacomo Revelli Serving"
4,Giacomo Revelli,Timofey Stepanov,15-30,0-0,0-0,,Ad,Giacomo Revelli,Timofey Stepanov,UCLA,California,131100.0,131820.0,720.0,2,1-4,0,1,2nd Serve In,T,,T,False,Near,,,,,0.218520341,245.7932032,Crosscourt,Forehand,Long,Long,Crosscourt,Forehand,Timofey Stepanov,Error,Giacomo Revelli,0.0,False,,,1,0,0,0,0,15,30,,,1,2nd Serve In,Ad: T,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 15-30 Giacomo Revelli Serving"
5,Giacomo Revelli,Timofey Stepanov,15-40,0-0,0-0,,Deuce,Giacomo Revelli,Timofey Stepanov,UCLA,California,152919.0,173600.0,20681.0,15,13+,1,0,1st Serve In,T,T,,False,Near,,,-34.29732065,245.0490704,,,Crosscourt,Backhand,Long,,Down the Line,Forehand,Giacomo Revelli,Error,Timofey Stepanov,0.0,True,Giacomo Revelli,,1,0,0,0,0,15,40,,,1,1st Serve In,Deuce: T,,,Down the Line,Forehand,Error,,,Crosscourt,Backhand,,,,2.0,2.0,1.0,5.0,"Set 1: 0-0, 15-40 Giacomo Revelli Serving"
6,Giacomo Revelli,Timofey Stepanov,0-0,0-1,0-0,,Deuce,Timofey Stepanov,Giacomo Revelli,UCLA,California,272380.0,276799.0,4419.0,5,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,,,-137.3927603,245.8163605,,,Crosscourt,Forehand,Wide Left,,Down the Line,Backhand,Timofey Stepanov,Error,Giacomo Revelli,0.0,False,,,1,0,0,0,1,0,0,,,2,,,Crosscourt,Forehand,,,,1st Serve In,Deuce: Wide,,,Down the Line,Backhand,Error,0.0,0.0,1.0,0.0,"Set 1: 0-1, 0-0 Timofey Stepanov Serving"
7,Giacomo Revelli,Timofey Stepanov,0-15,0-1,0-0,,Ad,Timofey Stepanov,Giacomo Revelli,UCLA,California,312019.0,312850.0,831.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,133.7760553,245.8163605,,,Crosscourt,Backhand,Long,Long,Crosscourt,Backhand,Giacomo Revelli,Error,Timofey Stepanov,0.0,False,,,1,0,0,0,1,0,15,,,2,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,1st Serve In,Ad: Wide,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-1, 0-15 Timofey Stepanov Serving"
8,Giacomo Revelli,Timofey Stepanov,15-15,0-1,0-0,,Deuce,Timofey Stepanov,Giacomo Revelli,UCLA,California,328480.0,350880.0,22400.0,3,1-4,0,1,2nd Serve In,Wide,Body,Wide,False,Near,,,-80.6013178,-1.445510717,-146.3414151,262.9484471,Crosscourt,Forehand,Long,,Crosscourt,Forehand,Timofey Stepanov,Error,Giacomo Revelli,0.0,False,,,1,0,0,0,1,15,15,,,2,,,Crosscourt,Forehand,,,,2nd Serve In,Deuce: Wide,,,Crosscourt,Forehand,Error,0.0,0.0,1.0,0.0,"Set 1: 0-1, 15-15 Timofey Stepanov Serving"
9,Giacomo Revelli,Timofey Stepanov,15-30,0-1,0-0,,Ad,Timofey Stepanov,Giacomo Revelli,UCLA,California,387850.0,397079.0,9229.0,7,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,,,111.7084099,245.3520287,,,Down the Line,Backhand,Net,,Crosscourt,Backhand,Timofey Stepanov,Error,Giacomo Revelli,0.0,False,,Timofey Stepanov,1,0,0,0,1,15,30,,,2,,,Down the Line,Backhand,,,,1st Serve In,Ad: Wide,,,Crosscourt,Backhand,Error,1.0,0.0,2.0,1.0,"Set 1: 0-1, 15-30 Timofey Stepanov Serving"
10,Giacomo Revelli,Timofey Stepanov,15-40,0-1,0-0,,Deuce,Timofey Stepanov,Giacomo Revelli,UCLA,California,433519.0,437600.0,4081.0,4,1-4,1,0,1st Serve In,T,T,,False,Near,,,-35.19057852,285.8627297,,,Down the Line,Backhand,,,Crosscourt,Forehand,Giacomo Revelli,Winner,Giacomo Revelli,0.0,True,,,1,0,0,0,1,15,40,,,2,,,Down the Line,Backhand,Crosscourt,Forehand,Winner,1st Serve In,Deuce: T,,,,,,1.0,1.0,1.0,0.0,"Set 1: 0-1, 15-40 Timofey Stepanov Serving"
