pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Gianluca Ballota,Max Westphal,0-0,0-0,0-0,,Deuce,Gianluca Ballota,Max Westphal,UCLA,Columbia,4220.0,4990.0,770.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,-118.4928751093,242.945740376078,,,Down the Line,Forehand,Wide Right,Wide Right,Down the Line,Forehand,Max Westphal,Error,Gianluca Ballota,,False,,,1,0,0,0,0,0,0,,,1,1st Serve In,Deuce: Wide,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 0-0 Gianluca Ballota Serving"
2,Gianluca Ballota,Max Westphal,15-0,0-0,0-0,,Ad,Gianluca Ballota,Max Westphal,UCLA,Columbia,26920.0,30870.0,3950.0,3,1-4,1,0,1st Serve In,T,T,,False,Near,,,41.6030730533468,164.843378171393,,,Crosscourt,Forehand,,,Down the Line,Forehand,Gianluca Ballota,Winner,Gianluca Ballota,0.0,False,Gianluca Ballota,,1,0,0,0,0,15,0,,,1,1st Serve In,Ad: T,,,Down the Line,Forehand,Winner,,,Crosscourt,Forehand,,,,0.0,0.0,1.0,0.0,"Set 1: 0-0, 15-0 Gianluca Ballota Serving"
3,Gianluca Ballota,Max Westphal,30-0,0-0,0-0,,Deuce,Gianluca Ballota,Max Westphal,UCLA,Columbia,49919.0,53919.0,4000.0,4,1-4,1,0,1st Serve In,T,T,,False,Near,,,-13.6258858267646,172.915234033157,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Max Westphal,Error,Gianluca Ballota,0.0,False,,,1,0,0,0,0,30,0,,,1,1st Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Down the Line,Forehand,Error,0.0,0.0,1.0,1.0,"Set 1: 0-0, 30-0 Gianluca Ballota Serving"
4,Gianluca Ballota,Max Westphal,40-0,0-0,0-0,,Ad,Gianluca Ballota,Max Westphal,UCLA,Columbia,81290.0,90489.0,9199.0,6,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,,,110.823993875708,235.352340332337,,,Crosscourt,Backhand,,,Down the Line,Backhand,Max Westphal,Winner,Max Westphal,0.0,False,,,1,0,0,0,0,40,0,,,1,1st Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Down the Line,Backhand,Winner,0.0,0.0,1.0,3.0,"Set 1: 0-0, 40-0 Gianluca Ballota Serving"
5,Gianluca Ballota,Max Westphal,40-15,0-0,0-0,,Deuce,Gianluca Ballota,Max Westphal,UCLA,Columbia,115349.0,116220.0,871.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,-111.740983158297,202.606900699808,,,Down the Line,Forehand,Wide Right,Wide Right,Down the Line,Forehand,Max Westphal,Error,Gianluca Ballota,0.0,False,,,1,0,0,0,0,40,15,,,1,1st Serve In,Deuce: Wide,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 40-15 Gianluca Ballota Serving"
6,Gianluca Ballota,Max Westphal,0-0,1-0,0-0,,Deuce,Max Westphal,Gianluca Ballota,UCLA,Columbia,171449.0,188270.0,16821.0,5,5-8,0,1,2nd Serve In,Wide,T,Wide,False,Near,,,24.8286800087361,-15.9289424759323,-116.506441382267,221.806681977138,Crosscourt,Backhand,Net,,Down the Line,Forehand,Max Westphal,Error,Gianluca Ballota,0.0,False,,,1,0,0,1,0,0,0,,,2,,,Crosscourt,Backhand,,,,2nd Serve In,Deuce: Wide,,,Down the Line,Forehand,Error,0.0,1.0,2.0,0.0,"Set 1: 1-0, 0-0 Max Westphal Serving"
7,Gianluca Ballota,Max Westphal,0-15,1-0,0-0,,Ad,Max Westphal,Gianluca Ballota,UCLA,Columbia,220750.0,234869.0,14119.0,5,5-8,0,1,2nd Serve In,Wide,T,Wide,False,Near,,,-20.4189632545826,409.461761810812,142.147462817074,203.406572615818,Down the Line,Forehand,,,Down the Line,Backhand,Max Westphal,Winner,Max Westphal,0.0,False,,Max Westphal,1,0,0,1,0,0,15,,,2,,,Down the Line,Forehand,,,,2nd Serve In,Ad: Wide,,,Down the Line,Backhand,Winner,0.0,1.0,2.0,1.0,"Set 1: 1-0, 0-15 Max Westphal Serving"
8,Gianluca Ballota,Max Westphal,0-30,1-0,0-0,,Deuce,Max Westphal,Gianluca Ballota,UCLA,Columbia,269980.0,284049.0,14069.0,2,1-4,0,1,2nd Serve In,T,Wide,T,False,Near,,,-112.220013123302,440.792503280612,-35.6169400699729,194.378073053268,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Gianluca Ballota,Error,Max Westphal,0.0,False,,,1,0,0,1,0,0,30,,,2,,,Down the Line,Forehand,Down the Line,Forehand,Error,2nd Serve In,Deuce: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-0, 0-30 Max Westphal Serving"
9,Gianluca Ballota,Max Westphal,15-30,1-0,0-0,,Ad,Max Westphal,Gianluca Ballota,UCLA,Columbia,304750.0,307170.0,2420.0,3,1-4,0,0,Double Fault,,T,,False,Near,,,11.0085028433889,254.08369422559,,,Down the Line,Backhand,Net,,Down the Line,,Max Westphal,Error,Gianluca Ballota,0.0,False,,Max Westphal,1,0,0,1,0,15,30,,,2,,,Down the Line,Backhand,,,,Double Fault,,,,Down the Line,,,0.0,0.0,1.0,0.0,"Set 1: 1-0, 15-30 Max Westphal Serving"
10,Gianluca Ballota,Max Westphal,15-40,1-0,0-0,,Deuce,Max Westphal,Gianluca Ballota,UCLA,Columbia,333250.0,333250.0,0.0,1,1-4,1,0,1st Serve In,Wide,Wide,,True,Near,,,-150.658464566851,233.12342519673,,,,,,,,,Max Westphal,,Max Westphal,0.0,True,,,1,0,0,1,0,15,40,,,2,Ace,,,,,,,1st Serve In,Deuce: Wide,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-0, 15-40 Max Westphal Serving"
