pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Gianluca Ballotta,Bernardo Munk Mesa,0-0,0-0,0-0,,Deuce,Gianluca Ballotta,Bernardo Munk Mesa,UCLA,Cal,48290.0,49290.0,1000.0,2,1-4,1,0,1st Serve In,T,T,,False,Far,,,,,,,Crosscourt,Backhand,Wide Left,Wide Left,Crosscourt,Backhand,Bernardo Munk Mesa,Error,Gianluca Ballotta,,False,,,1,0,0,0,0,0,0,,,1,1st Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 0-0 Gianluca Ballotta Serving"
2,Gianluca Ballotta,Bernardo Munk Mesa,15-0,0-0,0-0,,Ad,Gianluca Ballotta,Bernardo Munk Mesa,UCLA,Cal,88669.0,90419.0,1750.0,2,1-4,0,1,2nd Serve In,Wide,Wide,Wide,False,Far,,,,,,,Crosscourt,Backhand,,,Crosscourt,Backhand,Bernardo Munk Mesa,Winner,Bernardo Munk Mesa,0.0,False,,,1,0,0,0,0,15,0,,,1,2nd Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Winner,0.0,0.0,0.0,0.0,"Set 1: 0-0, 15-0 Gianluca Ballotta Serving"
3,Gianluca Ballotta,Bernardo Munk Mesa,15-15,0-0,0-0,,Deuce,Gianluca Ballotta,Bernardo Munk Mesa,UCLA,Cal,113599.0,123349.0,9750.0,8,5-8,1,0,1st Serve In,Body,Body,,False,Far,,,64.90628281,-146.0996227,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Bernardo Munk Mesa,Error,Gianluca Ballotta,0.0,False,,,1,0,0,0,0,15,15,,,1,1st Serve In,Deuce: Body,,,,,,,,Crosscourt,Backhand,Down the Line,Forehand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 15-15 Gianluca Ballotta Serving"
4,Gianluca Ballotta,Bernardo Munk Mesa,30-15,0-0,0-0,,Ad,Gianluca Ballotta,Bernardo Munk Mesa,UCLA,Cal,152139.0,152139.0,0.0,1,1-4,0,0,Double Fault,,T,,False,Far,,,1.536493876,20.46546916,,,,,Net,,,,Gianluca Ballotta,,Bernardo Munk Mesa,0.0,False,,,1,0,0,0,0,30,15,,,1,Double Fault,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 30-15 Gianluca Ballotta Serving"
5,Gianluca Ballotta,Bernardo Munk Mesa,30-30,0-0,0-0,,Deuce,Gianluca Ballotta,Bernardo Munk Mesa,UCLA,Cal,188500.0,207869.0,19369.0,14,13+,1,0,1st Serve In,T,T,,False,Far,,,11.99879156,-215.3517388,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Bernardo Munk Mesa,Error,Gianluca Ballotta,0.0,False,,,1,0,0,0,0,30,30,,,1,1st Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Down the Line,Forehand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 30-30 Gianluca Ballotta Serving"
6,Gianluca Ballotta,Bernardo Munk Mesa,40-30,0-0,0-0,,Ad,Gianluca Ballotta,Bernardo Munk Mesa,UCLA,Cal,236800.0,243970.0,7170.0,6,5-8,1,0,1st Serve In,Wide,Wide,,False,Far,,,-130.1513506,-189.9770833,,,Down the Line,Backhand,,,Down the Line,Backhand,Bernardo Munk Mesa,Winner,Bernardo Munk Mesa,0.0,False,,,1,0,0,0,0,40,30,,,1,1st Serve In,Ad: Wide,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Winner,0.0,0.0,0.0,0.0,"Set 1: 0-0, 40-30 Gianluca Ballotta Serving"
7,Gianluca Ballotta,Bernardo Munk Mesa,0-0,1-0,0-0,,Deuce,Bernardo Munk Mesa,Gianluca Ballotta,UCLA,Cal,275029.0,368529.0,93500.0,7,5-8,1,1,1st Serve In,Wide,Wide,Body,False,Far,,,130.1690726,-174.8642717,95.67256124,-156.2156332,Down the Line,Backhand,Net,,Down the Line,Forehand,Bernardo Munk Mesa,Error,Gianluca Ballotta,0.0,False,,,1,0,0,1,0,0,0,,,2,,,Down the Line,Backhand,,,,1st Serve In,Deuce: Wide,,,Down the Line,Forehand,Error,0.0,0.0,2.0,3.0,"Set 1: 1-0, 0-0 Bernardo Munk Mesa Serving"
8,Gianluca Ballotta,Bernardo Munk Mesa,0-15,1-0,0-0,,Ad,Bernardo Munk Mesa,Gianluca Ballotta,UCLA,Cal,399100.0,405899.0,6799.0,1,1-4,0,0,Double Fault,Body,Body,Body,False,Far,,,-97.93393482,25.25002734,-72.25429243,23.15680227,,,Net,,,,Bernardo Munk Mesa,,Gianluca Ballotta,0.0,False,,,1,0,0,1,0,0,15,,,2,,,,,,,,Double Fault,Ad: Body,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-0, 0-15 Bernardo Munk Mesa Serving"
9,Gianluca Ballotta,Bernardo Munk Mesa,0-30,1-0,0-0,,Deuce,Bernardo Munk Mesa,Gianluca Ballotta,UCLA,Cal,429429.0,451179.0,21750.0,8,5-8,0,1,2nd Serve In,Body,T,Body,False,Far,,,19.47464458,21.66160871,88.2510608,-138.6261045,Crosscourt,Forehand,Net,,Down the Line,Forehand,Gianluca Ballotta,Winner,Gianluca Ballotta,0.0,False,,,1,0,0,1,0,0,30,,,2,,,Crosscourt,Forehand,Down the Line,Forehand,Winner,2nd Serve In,Deuce: Body,,,,,,0.0,2.0,2.0,1.0,"Set 1: 1-0, 0-30 Bernardo Munk Mesa Serving"
10,Gianluca Ballotta,Bernardo Munk Mesa,0-40,1-0,0-0,,Ad,Bernardo Munk Mesa,Gianluca Ballotta,UCLA,Cal,476130.0,494769.0,18639.0,1,1-4,0,0,Double Fault,T,T,T,False,Far,,,-28.55784121,21.96066273,-42.72461177,23.45581802,,,Net,,,,Bernardo Munk Mesa,,Gianluca Ballotta,0.0,True,,,1,0,0,1,0,0,40,,,2,,,,,,,,Double Fault,Ad: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-0, 0-40 Bernardo Munk Mesa Serving"
