Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,isExcitingPoint,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 1: 0-0, 0-0 Spencer Johnson Serving",1,1,1,Spencer Johnson,Gustaf Strom,0-0,0-0,0-0,,Deuce,Spencer Johnson,Gustaf Strom,1063.0,8194.0,7131.0,Spencer Johnson,2,1 - 4,1,0,1st Serve In,T,T,,False,Near,-45.0,228.0,,,Down the Line,Backhand,Wide Right,Wide Right,Down the Line,Backhand,Gustaf Strom,Error,False,,,,0,0,0,0,0,0,,,1st Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,UCLA,U of Arizona
"Set 1: 0-0, 15-0 Spencer Johnson Serving",2,1,1,Spencer Johnson,Gustaf Strom,15-0,0-0,0-0,,Ad,Spencer Johnson,Gustaf Strom,7175.0,45606.0,38431.0,Spencer Johnson,2,1 - 4,0,1,2nd Serve In,Wide,Body,Wide,False,Near,75.0,1.0,112.0,228.0,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Gustaf Strom,Error,False,,,0.0,0,0,0,0,15,0,,,2nd Serve In,Ad: Wide,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,UCLA,U of Arizona
"Set 1: 0-0, 30-0 Spencer Johnson Serving",3,1,1,Spencer Johnson,Gustaf Strom,30-0,0-0,0-0,,Deuce,Spencer Johnson,Gustaf Strom,79589.0,85244.0,5655.0,Gustaf Strom,3,1 - 4,1,0,1st Serve In,T,T,,False,Near,-16.0,236.0,,,Down the Line,Backhand,Long,,Crosscourt,Forehand,Spencer Johnson,Error,False,,,0.0,0,0,0,0,30,0,,,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Error,,,Down the Line,Backhand,,,,UCLA,U of Arizona
"Set 1: 0-0, 30-15 Spencer Johnson Serving",4,1,1,Spencer Johnson,Gustaf Strom,30-15,0-0,0-0,,Ad,Spencer Johnson,Gustaf Strom,106597.0,112530.0,5933.0,Spencer Johnson,1,1 - 4,1,0,1st Serve In,T,T,,True,Near,8.0,225.0,,,,,,,,,Spencer Johnson,,False,,,0.0,0,0,0,0,30,15,,,Ace,Ad: T,,,,,,,,,,,,,UCLA,U of Arizona
"Set 1: 0-0, 40-15 Spencer Johnson Serving",5,1,1,Spencer Johnson,Gustaf Strom,40-15,0-0,0-0,,Deuce,Spencer Johnson,Gustaf Strom,115571.0,144024.0,28453.0,Spencer Johnson,5,5 - 8,1,0,1st Serve In,Body,Body,,False,Near,-64.0,209.0,,,Crosscourt,Backhand,,,Crosscourt,Backhand,Spencer Johnson,Winner,False,,,0.0,0,0,0,0,40,15,,,1st Serve In,Deuce: Body,,,Crosscourt,Backhand,Winner,,,Crosscourt,Backhand,,,,UCLA,U of Arizona
"Set 1: 1-0, 0-0 Gustaf Strom Serving",6,1,2,Spencer Johnson,Gustaf Strom,0-0,1-0,0-0,,Deuce,Gustaf Strom,Spencer Johnson,213250.0,224164.0,10914.0,Spencer Johnson,3,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Near,-136.0,228.0,,,Down the Line,Backhand,Wide Right,,Crosscourt,Forehand,Gustaf Strom,Error,False,,,0.0,0,0,1,0,0,0,,,,,Down the Line,Backhand,,,,1st Serve In,Deuce: Wide,,,Crosscourt,Forehand,Error,UCLA,U of Arizona
"Set 1: 1-0, 0-15 Gustaf Strom Serving",7,1,2,Spencer Johnson,Gustaf Strom,0-15,1-0,0-0,,Ad,Gustaf Strom,Spencer Johnson,239408.0,265245.0,25837.0,Spencer Johnson,5,5 - 8,0,1,2nd Serve In,Body,T,Body,False,Near,43.0,276.0,56.0,214.0,Crosscourt,Backhand,Net,,Down the Line,Forehand,Gustaf Strom,Error,False,,,0.0,0,0,1,0,0,15,,,,,Crosscourt,Backhand,,,,2nd Serve In,Ad: Body,,,Down the Line,Forehand,Error,UCLA,U of Arizona
"Set 1: 1-0, 0-30 Gustaf Strom Serving",8,1,2,Spencer Johnson,Gustaf Strom,0-30,1-0,0-0,,Deuce,Gustaf Strom,Spencer Johnson,270139.0,313480.0,43341.0,Gustaf Strom,4,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Near,-112.0,230.0,,,Down the Line,Backhand,Long,,Down the Line,Forehand,Spencer Johnson,Error,False,,,0.0,0,0,1,0,0,30,,,,,Down the Line,Backhand,Down the Line,Forehand,Error,1st Serve In,Deuce: Wide,,,,,,UCLA,U of Arizona
"Set 1: 1-0, 15-30 Gustaf Strom Serving",9,1,2,Spencer Johnson,Gustaf Strom,15-30,1-0,0-0,,Ad,Gustaf Strom,Spencer Johnson,313470.0,378671.0,65201.0,Spencer Johnson,21,13 +,0,1,2nd Serve In,T,Wide,T,False,Near,165.0,206.0,40.0,196.0,Crosscourt,Backhand,Long,,Crosscourt,Forehand,Gustaf Strom,Error,False,,,0.0,0,0,1,0,15,30,,,,,Crosscourt,Backhand,,,,2nd Serve In,Ad: T,,,Crosscourt,Forehand,Error,UCLA,U of Arizona
"Set 1: 1-0, 15-40 Gustaf Strom Serving",10,1,2,Spencer Johnson,Gustaf Strom,15-40,1-0,0-0,,Deuce,Gustaf Strom,Spencer Johnson,388594.0,415186.0,26592.0,Spencer Johnson,3,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Near,-146.0,214.0,,,Down the Line,Backhand,Long,,Crosscourt,Backhand,Gustaf Strom,Error,True,,,0.0,0,0,1,0,15,40,,,,,Down the Line,Backhand,,,,1st Serve In,Deuce: Wide,,,Crosscourt,Backhand,Error,UCLA,U of Arizona
